TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp808	Rfwd3	0.99871	50.005	0.503	rgb(223,121,122)	1.996	2,2
Eea1	Gigyf2	0.9987	50.015	0.512	rgb(223,119,120)	1.9962	2,2
Litaf	Tfpi	-0.99868	50.03	-5.3E-01	rgb(102,147,237)	1.9965	2,2
Gm14420	Gm2011	0.99866	50.02	0.522	rgb(223,117,118)	1.9963	2,2
Jazf1	Mid2	0.99864	50.01	0.509	rgb(223,120,121)	1.9961	2,2
Hmgb1	AI506816	0.99862	50.01	0.508	rgb(223,120,121)	1.9961	2,2
Cxxc5	Nod1	0.9986	50.07	0.568	rgb(223,108,110)	1.9973	2,2
E2f1	Phospho1	0.99858	50.055	0.556	rgb(223,111,112)	1.997	None
Crem	Vps37b	0.99857	50.12	0.621	rgb(224, 98,100)	1.9983	None
Zfp429	Fbxo44	0.99855	50	0.5	rgb(223,121,122)	1.9959	2,2
Sp6	Ell2	0.99853	49.995	0.495	rgb(222,122,123)	1.9958	None
Zeb2	Akr1b8	0.99849	49.995	0.496	rgb(222,122,123)	1.9958	2,2
Zeb2	Sytl3	0.99849	49.995	0.492	rgb(222,123,124)	1.9958	2,2
Zeb2	Serpine1	0.99847	50	0.5	rgb(223,121,122)	1.9959	2,2
Ankzf1	3110057O12Rik	0.99845	50.04	0.542	rgb(223,114,115)	1.9967	2,2
Zfp64	Fbxw2	-0.99843	50	-5.0E-01	rgb(109,151,236)	1.9959	2,2
Mbnl2	Pak1	0.99842	49.99	0.489	rgb(222,124,124)	1.9957	2,2
Sp6	Lrp4	0.9984	49.985	0.481	rgb(222,125,126)	1.9956	2,2
Zfp358	Sorcs2	-0.99838	50.01	-5.1E-01	rgb(106,150,236)	1.9961	2,2
Ankzf1	Arid3a	0.99836	50.04	0.536	rgb(223,115,116)	1.9967	2,2
Zbtb17	Il10rb	-0.99834	49.985	-4.9E-01	rgb(111,153,236)	1.9956	2,2
Sgsm2	Dlg3	0.9983	49.98	0.478	rgb(222,126,127)	1.9955	2,2
Zfp414	Rab4b	0.9983	49.98	0.48	rgb(222,125,126)	1.9955	2,2
Skil	Pmepa1	0.99829	49.985	0.488	rgb(222,124,125)	1.9956	2,2
Zfp429	Trim12a	0.99827	49.98	0.481	rgb(222,125,126)	1.9955	2,2
Csrnp1	1110057K04Rik	-0.99825	49.985	-4.8E-01	rgb(113,153,235)	1.9956	2,2
Zfp385a	Robo3	0.99823	49.985	0.486	rgb(222,124,125)	1.9956	2,2
Zfp449	Tcea3	0.99821	49.98	0.481	rgb(222,125,126)	1.9955	2,2
Foxp1	Adam9	-0.99816	49.975	-4.8E-01	rgb(114,154,235)	1.9954	2,2
Prdm2	Bcor	0.99816	49.975	0.474	rgb(222,126,127)	1.9954	2,2
Zfp385a	Plxna1	0.99816	49.975	0.476	rgb(222,126,127)	1.9954	2,2
Jazf1	Enpp4	-0.99812	49.98	-4.8E-01	rgb(113,154,235)	1.9955	2,2
Lyl1	Itgb5	0.99812	49.98	0.48	rgb(222,125,126)	1.9955	2,2
Litaf	Cmya5	0.9981	49.98	0.481	rgb(222,125,126)	1.9955	2,2
Foxp2	Sh2d4a	0.99808	50.025	0.523	rgb(223,117,118)	1.9964	2,2
Zfp385a	Cox6b2	0.99806	49.995	0.495	rgb(222,122,123)	1.9958	2,2
Zfp354c	Acpp	0.99802	50.02	0.518	rgb(223,118,119)	1.9963	2,2
Zfp385a	Psrc1	0.99802	50.02	0.519	rgb(223,118,119)	1.9963	2,2
Zfp771	Tmem158	0.99801	49.975	0.471	rgb(222,127,128)	1.9954	2,2
Satb1	Epas1	0.99799	49.97	0.468	rgb(222,128,129)	1.9953	2,2
Drap1	Anapc1	-0.99795	49.97	-4.7E-01	rgb(115,155,235)	1.9953	2,2
Zfp951	Guca1b	0.99795	49.97	0.471	rgb(222,127,128)	1.9953	2,2
C030039L03Rik	4930417O13Rik	0.99791	49.97	0.469	rgb(222,127,128)	1.9953	2,2
Zfp72	Kdelc1	0.99791	49.97	0.471	rgb(222,127,128)	1.9953	2,2
Zfp280b	Rnf150	0.99789	49.97	0.466	rgb(222,128,129)	1.9953	2,2
Zfp536	Itsn1	0.99788	50.06	0.564	rgb(223,109,110)	1.9971	2,2
Mxd3	9530077C05Rik	0.99786	49.975	0.472	rgb(222,127,128)	1.9954	2,2
Phf1	Znrf1	0.99784	49.97	0.47	rgb(222,127,128)	1.9953	2,2
E2f4	Lrp8	0.9978	49.99	0.491	rgb(222,123,124)	1.9957	None
Egr2	Tnk2	0.9978	49.99	0.489	rgb(222,124,125)	1.9957	None
Zfp266	Pomt2	0.99776	49.965	0.464	rgb(222,128,129)	1.9952	2,2
Zfp385a	Abhd4	0.99776	49.965	0.461	rgb(222,129,130)	1.9952	2,2
Zik1	Mvp	-0.99775	49.985	-4.8E-01	rgb(112,153,235)	1.9956	2,2
Stat1	Dtx3l	0.99773	49.975	0.471	rgb(222,127,128)	1.9954	None
Nr4a3	Dpy19l3	-0.99769	50	-9.6E-02	rgb(196,204,221)	1.9959	None
Zfp385a	Phlda3	0.99769	50	0.5	rgb(222,122,123)	1.9959	2,2
Ncoa3	Stat5b	0.99767	49.965	0.466	rgb(222,128,129)	1.9952	2,2
Zfp429	H60b	-0.99765	49.98	-4.8E-01	rgb(113,154,235)	1.9955	2,2
Zfp960	F2rl1	-0.99763	49.965	-4.7E-01	rgb(116,156,235)	1.9952	2,2
Zbtb44	Trove2	0.99762	49.96	0.458	rgb(222,129,130)	1.9951	2,2
Hif1a	Hk1	0.9976	50.08	0.577	rgb(223,107,108)	1.9975	None
Stat4	Smad3	0.99758	49.96	0.001	rgb(217,217,217)	1.9951	None
Lin54	Gpsm2	0.99756	49.975	0.475	rgb(222,126,127)	1.9954	None
Lyl1	Gprasp2	0.99754	49.96	0.464	rgb(222,128,129)	1.9951	2,2
Zfp35	Mmachc	0.99752	50.01	0.51	rgb(223,120,121)	1.9961	2,2
Zfp629	Hemgn	0.9975	49.97	0.47	rgb(222,127,128)	1.9953	2,2
Rbck1	Slc9a8	0.99748	49.97	0.472	rgb(222,127,128)	1.9953	2,2
Jazf1	4930506M07Rik	0.99747	50	0.499	rgb(222,122,123)	1.9959	2,2
Zfp365	Eda2r	0.99745	49.955	0.457	rgb(222,130,131)	1.995	2,2
Irf7	Cmpk2	0.99743	50.065	0.565	rgb(223,109,110)	1.9972	2,2
Kdm5b	Ppap2c	0.99741	49.96	0.457	rgb(222,130,131)	1.9951	2,2
Zfp385a	Ptp4a3	0.99739	49.96	0.46	rgb(222,129,130)	1.9951	2,2
Sgsm2	Nsmaf	0.99737	49.955	0.451	rgb(222,131,132)	1.995	2,2
Jazf1	9430020K01Rik	0.99735	49.965	0.461	rgb(222,129,130)	1.9952	2,2
