TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Sp2	Slc39a9	0.99864	50.26	0.761	rgb(225, 72, 73)	1.9962	None
Tbx21	Nlrc5	0.99864	50.22	0.72	rgb(225, 79, 81)	1.9953	2,2
Zbed6	Cnot1	0.99864	50.26	0.757	rgb(225, 72, 74)	1.9962	None
Zbed6	Tsc1	0.99864	50.26	0.765	rgb(225, 71, 72)	1.9962	None
E2f1	Tyms	0.99855	50.29	0.786	rgb(226, 67, 68)	1.9968	None
Irf4	Irf7	-0.99855	50.29	-7.9E-01	rgb( 46,113,247)	1.9968	None
Tbx21	Il10	0.99855	50.29	0.785	rgb(226, 67, 69)	1.9968	None
Tbx21	Il12rb2	0.99855	50.29	0.787	rgb(226, 67, 68)	1.9968	None
Tbx21	Il23r	0.99855	50.29	0.785	rgb(226, 67, 69)	1.9968	None
Mxi1	Clybl	0.99853	50.28	0.777	rgb(226, 69, 70)	1.9966	2,2
Nr4a3	Nr4a1	0.99845	50.23	0.732	rgb(225, 77, 79)	1.9956	2,2
Srebf1	Insig1	0.99845	50.23	0.729	rgb(225, 78, 79)	1.9956	2,2
Tulp3	Tbc1d14	0.99845	50.23	0.726	rgb(225, 78, 80)	1.9956	2,2
Zfp473	Fkrp	-0.99845	50.23	-7.3E-01	rgb( 59,121,245)	1.9956	2,2
Atf6	Lamc1	0.99823	50.21	0.712	rgb(225, 81, 82)	1.9951	2,2
Atf6b	Crip1	-0.99823	50.26	-7.6E-01	rgb( 53,117,246)	1.9962	2,2
Crem	Vps37b	0.99823	50.25	0.745	rgb(225, 75, 76)	1.996	None
Epas1	Arrb1	0.99823	50.21	0.713	rgb(225, 81, 82)	1.9951	None
Hes1	Efnb1	0.99823	50.21	0.707	rgb(225, 82, 83)	1.9951	None
Irf1	Gbp5	0.99823	50.25	0.747	rgb(225, 74, 76)	1.996	None
Irf5	Cd44	0.99823	50.25	0.745	rgb(225, 75, 76)	1.996	None
Irf7	Isg20	0.99823	50.25	0.755	rgb(225, 73, 74)	1.996	None
Myc	Gpatch4	0.99823	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Nr2f1	Serpinc1	-0.99823	50.26	-7.6E-01	rgb( 52,116,246)	1.9962	None
Zbed6	Tnrc6a	0.99823	50.25	0.747	rgb(225, 74, 76)	1.996	None
Zfp536	Itsn1	0.99823	50.21	0.715	rgb(225, 80, 82)	1.9951	2,2
Foxs1	Vax2	0.99819	50.22	0.722	rgb(225, 79, 81)	1.9953	2,2
Hsf1	Nfkb1	0.99819	50.22	0.718	rgb(225, 80, 81)	1.9953	None
Zeb2	Lsp1	-0.99816	50.2	-7.0E-01	rgb( 66,125,244)	1.9949	2,2
Zfp385a	Lrrc28	0.99816	50.2	0.695	rgb(225, 84, 86)	1.9949	2,2
Bhlhe40	Fam129a	0.99806	50.24	0.745	rgb(225, 75, 76)	1.9958	None
Cebpg	Chac1	0.99806	50.24	0.745	rgb(225, 75, 76)	1.9958	None
Srebf1	Abcg1	0.99806	50.24	0.74	rgb(225, 76, 77)	1.9958	None
Srebf2	Cyfip2	0.99806	50.24	0.739	rgb(225, 76, 77)	1.9958	None
Tulp3	Il2ra	0.99806	50.24	0.745	rgb(225, 75, 76)	1.9958	2,2
Ddit3	Asns	0.99797	50.21	0.705	rgb(225, 82, 84)	1.9951	None
Irf1	Fam26f	0.99797	50.21	0.711	rgb(225, 81, 83)	1.9951	None
Irf1	Gbp4	0.99797	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Irf1	Gbp6	0.99797	50.21	0.708	rgb(225, 82, 83)	1.9951	None
Zfp629	Ttbk2	0.99797	50.23	0.725	rgb(225, 78, 80)	1.9956	2,2
Adnp	Zadh2	0.99786	50.25	0.747	rgb(225, 74, 76)	1.996	2,2
Hif1a	H2-Ab1	0.99786	50.25	0.755	rgb(225, 73, 74)	1.996	None
Hif1a	Slc2a1	0.99786	50.25	0.746	rgb(225, 74, 76)	1.996	None
Mbnl2	Slain1	0.99786	50.25	0.754	rgb(225, 73, 74)	1.996	2,2
Nfatc2	Enpp2	0.99786	50.25	0.754	rgb(225, 73, 74)	1.996	None
Spib	Irf7	-0.99786	50.25	-7.5E-01	rgb( 54,118,246)	1.996	None
Bhlhe40	Clip3	0.99765	50.23	0.726	rgb(225, 78, 80)	1.9956	None
Crem	Ccl4	-0.99765	50.24	-7.4E-01	rgb( 57,120,245)	1.9958	None
