TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
E2f4	Cdc25b	1	50.88	0.88	rgb(227, 49, 51)	2	None
Rorc	Il17re	1	50.88	0.883	rgb(227, 48, 50)	2	None
Stat3	Chmp4b	1	50.88	0.884	rgb(227, 48, 50)	2	None
Hif1a	Pfkp	0.99689	50.87	0.866	rgb(227, 52, 53)	1.9998	None
Hif1a	Smtnl2	0.99379	50.86	0.86	rgb(226, 53, 54)	1.9996	None
Rorc	Vax2	0.99068	50.85	0.852	rgb(226, 54, 56)	1.9994	None
Stat3	Tnip2	0.99068	50.85	0.853	rgb(226, 54, 56)	1.9994	None
Stat3	Klf3	-0.98758	50.84	-8.4E-01	rgb( 35,106,249)	1.9992	None
Hif1a	Bnip3	0.98447	50.83	0.827	rgb(226, 59, 61)	1.999	None
Hif1a	Egln1	0.98447	50.83	0.835	rgb(226, 58, 59)	1.999	None
Stat3	Klhl6	0.98447	50.83	0.835	rgb(226, 58, 59)	1.999	None
Hif1a	Slc2a1	0.98137	50.82	0.823	rgb(226, 60, 61)	1.9988	None
Stat3	Cwh43	0.98137	50.82	0.817	rgb(226, 61, 63)	1.9988	None
Hif1a	Arrb1	0.97826	50.81	0.806	rgb(226, 63, 65)	1.9986	None
Hif1a	Ppme1	0.97826	50.81	0.806	rgb(226, 63, 65)	1.9986	None
Stat3	Abi3	0.97826	50.81	0.809	rgb(226, 63, 64)	1.9986	None
Stat3	Timp1	0.97826	50.81	0.812	rgb(226, 62, 64)	1.9986	None
Hif1a	Aldoc	0.97516	50.8	0.799	rgb(226, 64, 66)	1.9984	None
Hif1a	Galk1	0.97516	50.8	0.799	rgb(226, 64, 66)	1.9984	None
Hif1a	Ppp1r3b	0.97516	50.8	0.799	rgb(226, 64, 66)	1.9984	None
Rorc	2310007L24Rik	0.97516	50.8	0.801	rgb(226, 64, 66)	1.9984	2,2
Stat1	Parp9	0.97516	50.8	0.803	rgb(226, 64, 65)	1.9984	2,2
Gabpa	Heatr1	0.97205	50.79	0.789	rgb(226, 66, 68)	1.9982	None
Hif1a	Fzd7	0.97205	50.79	0.794	rgb(226, 65, 67)	1.9982	None
Hif1a	Muc2	0.97205	50.79	0.786	rgb(226, 67, 68)	1.9982	None
Hif1a	Plcxd1	0.97205	50.79	0.79	rgb(226, 66, 68)	1.9982	None
Maf	Ddx51	-0.97205	50.79	-7.9E-01	rgb( 46,113,247)	1.9982	None
Stat3	Hif1a	0.97205	50.79	0.789	rgb(226, 66, 68)	1.9982	None
Stat3	Slc39a1	0.97205	50.79	0.792	rgb(226, 66, 67)	1.9982	None
Hif1a	Ero1l	0.96895	50.78	0.781	rgb(226, 68, 69)	1.998	None
Hif1a	Jmjd6	0.96895	50.78	0.781	rgb(226, 68, 69)	1.998	None
