TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	0.85526	50.44	0.937	rgb(227, 38, 40)	2	2,2
Rorc	Lingo4	0.85526	50.37	0.868	rgb(227, 51, 53)	1.9986	2,2
Zfp367	Dtl	0.85526	50.34	0.838	rgb(226, 57, 59)	1.998	2,2
Epas1	Slc2a1	0.85526	50.33	0.831	rgb(226, 58, 60)	1.9978	None
Nr4a3	Nr4a1	0.85526	50.32	0.824	rgb(226, 60, 61)	1.9976	2,2
Zfp182	Fyco1	0.85526	50.32	0.824	rgb(226, 60, 61)	1.9976	2,2
Zfp467	Sspo	0.85526	50.32	0.816	rgb(226, 61, 63)	1.9976	2,2
Sp110	Cdkn2d	0.85526	50.31	0.814	rgb(226, 61, 63)	1.9974	2,2
Hif1a	1700001L05Rik	0.85526	50.29	0.79	rgb(226, 66, 68)	1.997	2,2
Epas1	Hk1	0.85526	50.28	0.782	rgb(226, 68, 69)	1.9968	2,2
Ahrr	Cyp1b1	0.85526	50.28	0.776	rgb(226, 69, 70)	1.9968	2,2
Irf9	Rtp4	0.85526	50.25	0.754	rgb(225, 73, 74)	1.9962	None
Zfp385a	Zmat3	0.85526	50.25	0.746	rgb(225, 75, 76)	1.9962	2,2
Scrt1	Dgat1	0.85526	50.24	0.736	rgb(225, 76, 78)	1.996	2,2
Zfp367	Exo1	0.85526	50.24	0.743	rgb(225, 75, 77)	1.996	2,2
Irf9	Dtx3l	0.85526	50.23	0.732	rgb(225, 77, 79)	1.9958	None
Mxd3	Cdc25b	0.85526	50.23	0.732	rgb(225, 77, 79)	1.9958	2,2
Zfp202	Dusp12	0.85526	50.23	0.731	rgb(225, 77, 79)	1.9958	2,2
Zfp536	Tekt2	0.85526	50.23	0.734	rgb(225, 77, 78)	1.9958	2,2
Gabpa	Gemin6	0.85526	50.21	0.705	rgb(225, 82, 84)	1.9953	2,2
Atmin	Scyl2	0.85526	50.21	0.706	rgb(225, 82, 84)	1.9953	2,2
C030039L03Rik	Atp7b	0.85526	50.21	0.712	rgb(225, 81, 82)	1.9953	2,2
Foxp4	B4galnt1	0.85526	50.21	0.712	rgb(225, 81, 83)	1.9953	2,2
Foxs1	Mylk2	0.85526	50.21	0.711	rgb(225, 81, 83)	1.9953	2,2
Pou2af1	Il10ra	-0.85526	50.21	-7.1E-01	rgb( 63,123,244)	1.9953	2,2
Tbx21	Gbp2	0.85526	50.21	0.71	rgb(225, 81, 83)	1.9953	2,2
Ahr	Ryr1	0.85526	50.2	0.696	rgb(225, 84, 86)	1.9951	2,2
Trps1	Tspan2	0.85526	50.2	0.699	rgb(225, 84, 85)	1.9951	2,2
Zfp629	Ttbk2	0.85526	50.2	0.698	rgb(225, 84, 85)	1.9951	2,2
Hif1a	P4hb	0.85526	50.19	0.69	rgb(225, 85, 87)	1.9949	None
Tbx21	Icam1	0.85526	50.19	0.692	rgb(225, 85, 86)	1.9949	2,2
Tbx21	Notch1	0.85526	50.19	0.693	rgb(225, 85, 86)	1.9949	2,2
Zfp750	1700007K13Rik	0.85526	50.19	0.691	rgb(225, 85, 86)	1.9949	2,2
Irf9	I830012O16Rik	0.85526	50.18	0.676	rgb(224, 88, 89)	1.9947	2,2
Irf9	Pyhin1	0.85526	50.18	0.677	rgb(224, 88, 89)	1.9947	2,2
Sgsm2	Tert	0.85526	50.18	0.68	rgb(224, 87, 89)	1.9947	2,2
Tbx21	Nlrc5	0.85526	50.18	0.683	rgb(225, 86, 88)	1.9947	2,2
Zfp473	Fkrp	-0.85526	50.18	-6.8E-01	rgb( 69,127,243)	1.9947	2,2
Epas1	Bcar1	0.85526	50.17	0.668	rgb(224, 89, 91)	1.9945	None
Epas1	Egln1	0.85526	50.17	0.67	rgb(224, 89, 90)	1.9945	None
Hif1a	Slc2a3	0.85526	50.17	0.674	rgb(224, 88, 90)	1.9945	None
Fos	Me2	-0.85526	50.17	-6.7E-01	rgb( 72,129,242)	1.9945	2,2
Ikzf4	Sfrp2	0.85526	50.17	0.669	rgb(224, 89, 90)	1.9945	2,2
Klf6	Trp53i13	0.85526	50.17	0.674	rgb(224, 88, 90)	1.9945	2,2
Trerf1	Cyfip2	0.85526	50.17	0.672	rgb(224, 89, 90)	1.9945	2,2
Twist1	Fam160a1	0.85526	50.17	0.669	rgb(224, 89, 91)	1.9945	2,2
Twist1	Glt28d2	0.85526	50.17	0.669	rgb(224, 89, 91)	1.9945	2,2
Whsc1	Fancm	0.85526	50.17	0.67	rgb(224, 89, 90)	1.9945	2,2
Zeb2	Sntb1	-0.85526	50.17	-6.7E-01	rgb( 71,128,243)	1.9945	2,2
Zfp367	Rpa2	0.85526	50.17	0.671	rgb(224, 89, 90)	1.9945	2,2
Zfp568	Prodh	0.85526	50.17	0.669	rgb(224, 89, 91)	1.9945	2,2
Zfp948	Ankrd23	0.85526	50.17	0.671	rgb(224, 89, 90)	1.9945	2,2
Hif1a	Ero1l	0.85526	50.16	0.657	rgb(224, 92, 93)	1.9943	None
Sox4	Akap2	0.85526	50.16	0.665	rgb(224, 90, 91)	1.9943	None
Sp110	Ly6c1	0.85526	50.16	0.664	rgb(224, 90, 92)	1.9943	2,2
Tbx21	Erap1	0.85526	50.16	0.658	rgb(224, 91, 93)	1.9943	2,2
Whsc1	Anln	0.85526	50.16	0.657	rgb(224, 91, 93)	1.9943	2,2
Zfp385a	Zfp365	0.85526	50.16	0.658	rgb(224, 91, 93)	1.9943	2,2
Epas1	Cep170	0.85526	50.15	0.649	rgb(224, 93, 94)	1.9941	2,2
