TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	1	50.88	0.884	rgb(227, 48, 50)	2	None
E2f4	Wdr76	0.99652	50.85	0.847	rgb(226, 55, 57)	1.9994	None
Hif1a	Pgm2	0.99652	50.85	0.849	rgb(226, 55, 57)	1.9994	None
Hif1a	H2-Ab1	0.99303	50.84	0.835	rgb(226, 57, 59)	1.9992	2,2
Gm14420	Gm2011	0.99303	50.84	0.843	rgb(226, 56, 58)	1.9992	2,2
Egr1	Rab35	-0.98955	50.82	-8.2E-01	rgb( 39,109,248)	1.9988	None
Hif1a	Ppme1	0.98955	50.82	0.821	rgb(226, 60, 62)	1.9988	None
Hif1a	Arrb1	0.98606	50.79	0.79	rgb(226, 66, 68)	1.9982	None
Hif1a	P4ha2	0.98606	50.79	0.79	rgb(226, 66, 68)	1.9982	None
Zfp329	A230072C01Rik	0.98606	50.79	0.793	rgb(226, 65, 67)	1.9982	2,2
E2f4	E2f7	0.98258	50.78	0.779	rgb(226, 68, 70)	1.998	None
Hey1	C2cd3	0.98258	50.78	0.779	rgb(226, 68, 70)	1.998	None
Hif1a	Hk1	0.98258	50.78	0.776	rgb(226, 69, 70)	1.998	None
Hif1a	2310022B05Rik	0.9791	50.77	0.769	rgb(225, 70, 72)	1.9978	2,2
Hif1a	Ero1l	0.9791	50.77	0.767	rgb(225, 70, 72)	1.9978	None
Zfp300	Fes	0.9791	50.77	0.767	rgb(225, 71, 72)	1.9978	None
Zfp367	Dtl	0.9791	50.77	0.766	rgb(225, 71, 72)	1.9978	2,2
E2f4	Dars2	0.97561	50.76	0.758	rgb(225, 72, 74)	1.9976	None
Egr1	Sumf2	0.97561	50.76	0.763	rgb(225, 71, 73)	1.9976	None
Hif1a	Egln3	0.97561	50.76	0.76	rgb(225, 72, 73)	1.9976	None
Hif1a	Jmjd6	0.97561	50.76	0.762	rgb(225, 72, 73)	1.9976	None
Myc	Galk1	0.97561	50.76	0.759	rgb(225, 72, 74)	1.9976	None
Sp2	Pank1	0.97561	50.76	0.757	rgb(225, 72, 74)	1.9976	None
E2f1	Exo1	0.97213	50.75	0.751	rgb(225, 74, 75)	1.9974	None
Hif1a	Bnip3	0.97213	50.75	0.751	rgb(225, 74, 75)	1.9974	None
Nr1d2	Sphk1	0.97213	50.75	0.75	rgb(225, 74, 75)	1.9974	2,2
Zbtb33	Tmem141	-0.97213	50.75	-7.5E-01	rgb( 54,118,246)	1.9974	2,2
Zfp263	Smtnl2	0.97213	50.75	0.749	rgb(225, 74, 75)	1.9974	None
Zfp277	Tmem35	0.97213	50.75	0.75	rgb(225, 74, 75)	1.9974	2,2
Cebpb	Psph	0.96864	50.74	0.742	rgb(225, 75, 77)	1.9972	None
Hif1a	Smtnl2	0.96864	50.74	0.739	rgb(225, 76, 77)	1.9972	2,2
Zfp629	Ttbk2	0.96864	50.74	0.739	rgb(225, 76, 77)	1.9972	2,2
E2f1	Dkkl1	-0.96516	50.73	-7.3E-01	rgb( 58,120,245)	1.997	None
E2f4	Wee1	0.96516	50.73	0.733	rgb(225, 77, 78)	1.997	None
Fos	Tubb6	0.96516	50.73	0.728	rgb(225, 78, 79)	1.997	None
Hey1	Smyd5	0.96516	50.73	0.729	rgb(225, 78, 79)	1.997	None
Hif1a	Aldoc	0.96516	50.73	0.731	rgb(225, 77, 79)	1.997	2,2
Klf7	Ethe1	0.96516	50.73	0.734	rgb(225, 77, 78)	1.997	None
Plagl1	Otx1	0.96516	50.73	0.735	rgb(225, 77, 78)	1.997	None
Stat3	Sema7a	0.96516	50.73	0.735	rgb(225, 77, 78)	1.997	None
Trp53	Tmem19	0.96516	50.73	0.735	rgb(225, 77, 78)	1.997	None
Hey1	Mycbp2	0.96168	50.72	0.721	rgb(225, 79, 81)	1.9968	None
Hif1a	Bcar1	0.96168	50.72	0.721	rgb(225, 79, 81)	1.9968	2,2
Rora	Galnt12	0.96168	50.72	0.724	rgb(225, 79, 80)	1.9968	None
Zfp263	Snhg6	0.96168	50.72	0.723	rgb(225, 79, 80)	1.9968	None
Rbck1	Txndc17	-0.96168	50.72	-7.2E-01	rgb( 61,122,244)	1.9968	2,2
Tal2	Tmem38b	0.96168	50.72	0.722	rgb(225, 79, 81)	1.9968	2,2
Zfp882	Proz	0.96168	50.72	0.724	rgb(225, 79, 80)	1.9968	2,2
Dbp	Ramp3	0.95819	50.71	0.714	rgb(225, 81, 82)	1.9966	None
Ebf1	Ppcdc	0.95819	50.71	0.713	rgb(225, 81, 82)	1.9966	None
Egr1	Ggct	0.95819	50.71	0.712	rgb(225, 81, 82)	1.9966	None
Fosl1	Chst12	0.95819	50.71	0.707	rgb(225, 82, 83)	1.9966	None
Hey1	D830031N03Rik	0.95819	50.71	0.708	rgb(225, 82, 83)	1.9966	None
Lin54	Hist1h1b	0.95819	50.71	0.707	rgb(225, 82, 83)	1.9966	None
Nfkb1	Eno3	0.95819	50.71	0.713	rgb(225, 81, 82)	1.9966	None
Zfp367	Exo1	0.95819	50.71	0.708	rgb(225, 82, 83)	1.9966	2,2
Six5	Brd3	0.95471	50.7	0.7	rgb(225, 83, 85)	1.9964	None
Stat3	Bcl3	0.95471	50.7	0.705	rgb(225, 82, 84)	1.9964	None
Trp73	Ctsf	0.95471	50.7	0.697	rgb(225, 84, 85)	1.9964	2,2
E2f4	Mxd3	0.95122	50.69	0.687	rgb(225, 86, 87)	1.9962	None
Fosl1	Sema6b	0.95122	50.69	0.694	rgb(225, 84, 86)	1.9962	None
Irf9	Irf7	0.95122	50.69	0.686	rgb(225, 86, 87)	1.9962	None
Klf7	Tas1r3	-0.95122	50.69	-6.9E-01	rgb( 67,126,243)	1.9962	None
Nfic	Slc30a3	0.95122	50.69	0.695	rgb(225, 84, 86)	1.9962	None
Smad3	Ctsw	0.95122	50.69	0.691	rgb(225, 85, 86)	1.9962	None
Trp53	Phlda3	0.95122	50.69	0.688	rgb(225, 86, 87)	1.9962	None
Zbtb33	Rexo4	0.95122	50.69	0.695	rgb(225, 84, 86)	1.9962	None
Zfp318	Adora2b	-0.95122	50.69	-6.9E-01	rgb( 68,126,243)	1.9962	2,2
Zfp367	Fam111a	0.95122	50.69	0.693	rgb(225, 85, 86)	1.9962	2,2
Cebpg	Cysltr2	0.94774	50.68	0.685	rgb(225, 86, 88)	1.996	None
E2f4	Rfwd3	0.94774	50.68	0.679	rgb(224, 87, 89)	1.996	None
Fosl1	Tgm2	0.94774	50.68	0.683	rgb(225, 87, 88)	1.996	None
Hif1a	Mboat2	0.94774	50.68	0.685	rgb(225, 86, 88)	1.996	2,2
Hif1a	Pafah1b3	0.94774	50.68	0.675	rgb(224, 88, 89)	1.996	2,2
Hif1a	Plcxd1	0.94774	50.68	0.676	rgb(224, 88, 89)	1.996	2,2
Klf4	1700034H15Rik	-0.94774	50.68	-6.8E-01	rgb( 69,127,243)	1.996	None
Rela	Tspan7	0.94774	50.68	0.684	rgb(225, 86, 88)	1.996	None
Smad3	Olfm2	0.94774	50.68	0.678	rgb(224, 88, 89)	1.996	None
Zfp385a	Eng	0.94774	50.68	0.678	rgb(224, 87, 89)	1.996	2,2
Zfp429	Snhg6	0.94774	50.68	0.682	rgb(224, 87, 88)	1.996	2,2
Zfp948	Ankrd23	0.94774	50.68	0.676	rgb(224, 88, 89)	1.996	2,2
Egr3	Ggct	0.94426	50.67	0.672	rgb(224, 89, 90)	1.9958	None
Lin54	Hist1h1e	0.94426	50.67	0.673	rgb(224, 88, 90)	1.9958	None
Mnt	Impdh1	0.94426	50.67	0.667	rgb(224, 90, 91)	1.9958	None
Nfkb1	Arc	0.94426	50.67	0.673	rgb(224, 88, 90)	1.9958	None
Rora	Lgals3bp	0.94426	50.67	0.672	rgb(224, 89, 90)	1.9958	None
Smad3	Adamts6	0.94426	50.67	0.666	rgb(224, 90, 91)	1.9958	None
Smad3	Ahr	0.94426	50.67	0.668	rgb(224, 89, 91)	1.9958	2,2
Smad3	Golm1	0.94426	50.67	0.669	rgb(224, 89, 91)	1.9958	None
Sp3	Lhpp	0.94426	50.67	0.666	rgb(224, 90, 91)	1.9958	None
Sp3	Zc3h7b	0.94426	50.67	0.673	rgb(224, 88, 90)	1.9958	None
Srebf1	Eps8	0.94426	50.67	0.67	rgb(224, 89, 90)	1.9958	None
