TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.91	0.914	rgb(227, 42, 44)	2	2,2
Irf7	Rtp4	0.99788	50.89	0.886	rgb(227, 48, 49)	1.9996	2,2
Irf1	Nlrc5	0.99576	50.87	0.867	rgb(227, 51, 53)	1.9992	None
Irf7	Rsad2	0.99365	50.84	0.845	rgb(226, 56, 57)	1.9986	None
Irf7	Xaf1	0.99153	50.83	0.83	rgb(226, 58, 60)	1.9984	None
Srebf2	Dhcr24	0.99153	50.83	0.827	rgb(226, 59, 61)	1.9984	2,2
Irf1	Tbx21	0.98941	50.82	0.823	rgb(226, 60, 62)	1.9982	2,2
Mxi1	Cxcr4	0.98941	50.82	0.821	rgb(226, 60, 62)	1.9982	None
Sp2	Brd3	0.98941	50.82	0.818	rgb(226, 61, 62)	1.9982	None
Crem	Vps37b	0.98729	50.81	0.808	rgb(226, 63, 64)	1.998	None
Ahctf1	Zcchc2	0.98518	50.8	0.799	rgb(226, 64, 66)	1.9978	None
Irf9	Irf7	0.98518	50.8	0.801	rgb(226, 64, 66)	1.9978	2,2
Srf	Adarb1	0.98518	50.8	0.798	rgb(226, 65, 66)	1.9978	None
Nr4a1	Nr4a3	0.98306	50.79	0.793	rgb(226, 65, 67)	1.9976	2,2
Rorc	Lingo4	0.98094	50.78	0.785	rgb(226, 67, 69)	1.9974	2,2
Ahrr	Cyp1b1	0.97882	50.77	0.766	rgb(225, 71, 72)	1.9972	2,2
E2f1	Wee1	0.97882	50.77	0.773	rgb(226, 69, 71)	1.9972	None
Hsf1	Smyd5	0.97671	50.76	0.762	rgb(225, 71, 73)	1.997	None
Irf1	Erap1	0.97671	50.76	0.756	rgb(225, 73, 74)	1.997	None
Sp110	Gbp6	0.97671	50.76	0.762	rgb(225, 71, 73)	1.997	2,2
Sp2	Zfp592	0.97671	50.76	0.76	rgb(225, 72, 73)	1.997	None
Srebf1	Fads2	0.97671	50.76	0.761	rgb(225, 72, 73)	1.997	2,2
E2f4	Lrrc59	0.97459	50.75	0.749	rgb(225, 74, 75)	1.9968	None
Irf7	Cmpk2	0.97459	50.75	0.747	rgb(225, 74, 76)	1.9968	2,2
Irf7	I830012O16Rik	0.97459	50.75	0.75	rgb(225, 74, 75)	1.9968	2,2
Zfp536	Lpin3	0.97459	50.75	0.746	rgb(225, 75, 76)	1.9968	2,2
