TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Casz1	Dusp8	0.99875	49.99	0.491	rgb(222,123,124)	1.9946	2,2
Zfp385a	Phlda3	0.99873	49.99	0.49	rgb(222,123,124)	1.9946	2,2
Mxd4	Ypel3	0.99871	50.025	0.527	rgb(223,116,117)	1.9953	2,2
C030039L03Rik	Gapdhs	0.9987	50.06	0.559	rgb(223,110,111)	1.996	2,2
Zkscan17	Icam2	-0.99868	49.9775	-4.8E-01	rgb(113,154,235)	1.9943	2,2
Dzip1	Uggt2	0.99866	50.015	0.516	rgb(223,118,119)	1.9951	2,2
Zfp516	Plag1	0.99864	49.9875	0.488	rgb(222,124,125)	1.9945	2,2
Terf1	2310033P09Rik	0.99862	49.985	0.484	rgb(222,125,125)	1.9945	2,2
Ncoa1	Tmem184b	0.9986	49.97	0.472	rgb(222,127,128)	1.9942	2,2
Zfp808	Rfwd3	0.99858	50.0275	0.528	rgb(223,116,117)	1.9953	2,2
Zfp64	Fbxw2	-0.99857	49.995	-4.9E-01	rgb(110,152,236)	1.9947	2,2
Ankzf1	Rgs11	0.99855	49.9875	0.488	rgb(222,124,125)	1.9945	2,2
Zfp329	Neat1	0.99853	49.995	0.494	rgb(222,123,124)	1.9947	2,2
Zfp827	Susd3	-0.99851	49.985	-4.9E-01	rgb(111,153,235)	1.9945	2,2
Zfp385a	Psrc1	0.99849	50.02	0.519	rgb(223,118,119)	1.9952	2,2
Zfp608	Serpinb1a	0.99847	49.9875	0.487	rgb(222,124,125)	1.9945	2,2
Zfp429	Ankrd33b	0.99845	49.9725	0.471	rgb(222,127,128)	1.9942	2,2
Dpf1	Porcn	0.99843	49.9925	0.49	rgb(222,123,124)	1.9946	2,2
Zfp385a	Robo3	0.99842	49.98	0.479	rgb(222,125,126)	1.9944	2,2
Zfp277	Exosc8	0.9984	49.9825	0.484	rgb(222,124,125)	1.9944	2,2
Zfp948	Mtx3	0.99838	49.9725	0.47	rgb(222,127,128)	1.9942	2,2
Zbtb5	Cd24a	-0.99836	49.96	-4.6E-01	rgb(117,156,234)	1.994	2,2
Zfp473	Skap2	0.99834	49.96	0.46	rgb(222,129,130)	1.994	2,2
Zfp750	Ckmt1	0.99832	50	0.501	rgb(223,121,122)	1.9948	2,2
Pou5f2	Arg2	0.9983	49.96	0.463	rgb(222,129,129)	1.994	2,2
Terf1	Rftn1	-0.99829	49.97	-4.7E-01	rgb(115,155,235)	1.9942	2,2
Plscr1	Ubash3a	-0.99827	49.9725	-4.7E-01	rgb(115,155,235)	1.9942	2,2
Zfp365	Eda2r	0.99825	49.9725	0.473	rgb(222,127,128)	1.9942	2,2
Mxd1	Smyd5	-0.99823	49.9925	-4.9E-01	rgb(111,152,236)	1.9946	2,2
Mxd4	Tcp11l2	0.99821	49.99	0.489	rgb(222,124,125)	1.9946	2,2
Zfp516	B4galnt4	0.99819	49.965	0.466	rgb(222,128,129)	1.9941	2,2
Akna	Proz	0.99817	49.955	0.456	rgb(222,130,131)	1.9939	2,2
Mxi1	Urb1	-0.99816	49.9775	-3.1E-01	rgb(150,176,229)	1.9943	None
Rorc	Ccdc63	0.99814	50	0.502	rgb(223,121,122)	1.9948	None
Zfp750	1700007K13Rik	0.9981	49.95	0.451	rgb(222,131,132)	1.9938	2,2
Zfp960	Spats2	-0.9981	49.96	-4.6E-01	rgb(117,156,234)	1.994	2,2
Zfp280b	Rnf150	0.99808	49.9375	0.437	rgb(222,134,134)	1.9935	2,2
Zbtb46	Tmem120b	0.99806	49.9375	0.438	rgb(222,133,134)	1.9935	2,2
Stat1	Parp9	0.99804	49.945	0.445	rgb(222,132,133)	1.9937	None
Kdm5b	Ccng2	0.99802	49.9525	0.453	rgb(222,131,131)	1.9938	2,2
Fbxl19	Fth1	-0.99801	49.9675	-4.7E-01	rgb(115,155,235)	1.9941	2,2
Plscr1	Plod2	0.99799	49.9375	0.434	rgb(222,134,135)	1.9935	2,2
Zfp629	Zfp108	0.99797	49.935	0.436	rgb(222,134,135)	1.9935	2,2
Phf20	Fyco1	0.99795	49.935	0.435	rgb(222,134,135)	1.9935	2,2
Zfp280b	Zfp467	0.99793	49.9625	0.463	rgb(222,129,130)	1.994	2,2
Zfp367	Apitd1	0.99791	49.965	0.465	rgb(222,128,129)	1.9941	2,2
Zfp960	Ifi204	0.99789	49.935	0.435	rgb(222,134,135)	1.9935	2,2
Zfp956	Ankrd23	0.99788	49.9975	0.496	rgb(222,122,123)	1.9947	2,2
Ncoa2	Phlpp1	0.99786	49.9575	0.459	rgb(222,129,130)	1.9939	2,2
Zfp777	Pdxp	0.99784	49.95	0.451	rgb(222,131,132)	1.9938	2,2
Zfp629	Pcyox1l	-0.99782	49.95	-4.5E-01	rgb(119,158,234)	1.9938	2,2
Zfp536	Tlcd1	-0.9978	49.935	-4.3E-01	rgb(123,160,233)	1.9935	2,2
Zfp365	9030617O03Rik	0.99778	49.9575	0.456	rgb(222,130,131)	1.9939	2,2
Tulp2	Qrich2	0.99776	49.93	0.429	rgb(222,135,136)	1.9934	2,2
Zfp960	Masp2	0.99775	49.9275	0.426	rgb(222,136,136)	1.9933	2,2
Zfp277	Vamp4	0.99773	49.95	0.451	rgb(222,131,132)	1.9938	2,2
Zfp429	Kcnf1	-0.99771	49.945	-4.5E-01	rgb(120,158,234)	1.9937	2,2
Zfp956	Ppcdc	0.99769	49.9475	0.448	rgb(222,131,132)	1.9937	2,2
Zfp365	4632434I11Rik	0.99767	49.9225	0.425	rgb(222,136,137)	1.9932	2,2
Mbnl2	Jup	0.99765	49.9575	0.458	rgb(222,130,131)	1.9939	2,2
Zfp277	Amz2	0.99763	49.9375	0.439	rgb(222,133,134)	1.9935	2,2
Zfp266	Ybey	0.99762	49.9225	0.419	rgb(222,137,138)	1.9932	2,2
Zfp629	Hemgn	0.9976	49.9375	0.437	rgb(222,134,134)	1.9935	2,2
Zbtb17	Kctd6	-0.99758	49.9425	-4.4E-01	rgb(121,159,234)	1.9936	2,2
Zfp960	Dock1	0.99756	49.94	0.441	rgb(222,133,134)	1.9936	2,2
Zfp354c	Acpp	0.99754	49.9275	0.428	rgb(222,135,136)	1.9933	2,2
Mxd1	Socs3	0.99752	49.925	0.425	rgb(222,136,137)	1.9933	2,2
Zfp868	Orm2	0.9975	49.9275	0.425	rgb(222,136,137)	1.9933	2,2
Zfp280b	Npas2	0.99748	49.9325	0.431	rgb(222,135,136)	1.9934	2,2
