TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Vdr	Sema4f	0.58431	48.91	0.413	rgb(222,138,139)	1.9692	None
Xbp1	Tceal3	0.58431	48.91	0.414	rgb(222,138,139)	1.9692	2,2
Zbtb1	Rgs14	-0.58431	48.91	-4.1E-01	rgb(129,163,232)	1.9692	2,2
Zbtb17	Arhgef17	0.58431	48.91	0.406	rgb(221,139,140)	1.9692	2,2
Zfp148	Flot1	-0.58431	48.91	-4.1E-01	rgb(129,163,232)	1.9692	None
Zfp148	Rap2b	0.58431	48.91	0.413	rgb(222,138,139)	1.9692	None
Zfp169	Mycbp2	0.58431	48.91	0.412	rgb(222,138,139)	1.9692	2,2
Zfp385a	Sell	-0.58431	48.91	-4.1E-01	rgb(128,163,233)	1.9692	2,2
Zfp52	Zfp280b	-0.58431	48.91	-4.1E-01	rgb(127,162,233)	1.9692	2,2
Zfp64	Hexim1	0.58431	48.91	0.411	rgb(222,139,139)	1.9692	2,2
Zfp711	Grb7	-0.58431	48.91	-4.1E-01	rgb(127,162,233)	1.9692	2,2
Zfp711	Slc23a2	-0.58431	48.91	-4.1E-01	rgb(129,164,232)	1.9692	2,2
Zfp827	Sh2b2	0.58431	48.91	0.406	rgb(221,140,140)	1.9692	2,2
Zfp868	Tprkb	0.58431	48.91	0.409	rgb(222,139,140)	1.9692	2,2
Zfp9	Il24	0.58431	48.91	0.413	rgb(222,138,139)	1.9692	2,2
Ar	Snapc1	-0.5828	48.89	-3.9E-01	rgb(133,166,232)	1.9688	None
Arid3b	Plxdc2	-0.5828	48.89	-3.9E-01	rgb(133,166,232)	1.9688	None
Arntl2	Podnl1	0.5828	48.89	0.394	rgb(221,142,143)	1.9688	2,2
Batf	Itga3	0.5828	48.89	0.388	rgb(221,143,144)	1.9688	None
Batf	Tnfaip8	0.5828	48.89	0.386	rgb(221,143,144)	1.9688	None
Bcl6	Pxn	0.5828	48.89	0.394	rgb(221,142,143)	1.9688	None
Bhlhe40	Mir210	0.5828	48.89	0.388	rgb(221,143,144)	1.9688	None
Bhlhe40	Syne1	0.5828	48.89	0.386	rgb(221,143,144)	1.9688	None
C030039L03Rik	Ier3	0.5828	48.89	0.39	rgb(221,142,143)	1.9688	2,2
Cebpb	Gpr174	-0.5828	48.89	-3.9E-01	rgb(133,166,232)	1.9688	None
Creb3l2	Siglec5	-0.5828	48.89	-3.9E-01	rgb(132,165,232)	1.9688	2,2
Cux1	Rab39b	-0.5828	48.89	-3.9E-01	rgb(132,166,232)	1.9688	2,2
