TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
E2f4	Wdr76	0.69424	50.45	0.951	rgb(227, 35, 37)	2	None
Stat3	Timp1	0.69424	50.43	0.934	rgb(227, 39, 40)	1.9996	None
Stat3	Nsf	0.69424	50.41	0.906	rgb(227, 44, 46)	1.9992	None
Hif1a	Bnip3	0.69424	50.38	0.88	rgb(227, 49, 51)	1.9986	None
Hif1a	Egln1	0.69424	50.38	0.879	rgb(227, 49, 51)	1.9986	None
Atf6	Trim46	-0.69424	50.37	-8.7E-01	rgb( 29,103,250)	1.9984	None
Fosl2	Ddx51	-0.69424	50.36	-8.6E-01	rgb( 30,103,250)	1.9982	None
Stat3	Klhl6	0.69424	50.36	0.855	rgb(226, 54, 55)	1.9982	None
Stat3	Tnip2	0.69424	50.36	0.863	rgb(226, 52, 54)	1.9982	None
Hif1a	Ppme1	0.69424	50.35	0.847	rgb(226, 55, 57)	1.998	None
Hif1a	Slc2a1	0.69424	50.35	0.849	rgb(226, 55, 56)	1.998	None
Stat3	Ppm1j	0.69424	50.35	0.851	rgb(226, 54, 56)	1.998	None
Dbp	Ramp3	0.69424	50.34	0.841	rgb(226, 56, 58)	1.9978	None
Hif1a	Smtnl2	0.69424	50.34	0.835	rgb(226, 57, 59)	1.9978	None
Stat3	Fosl2	0.69424	50.34	0.841	rgb(226, 56, 58)	1.9978	None
Stat3	Hif1a	0.69424	50.34	0.837	rgb(226, 57, 59)	1.9978	None
Hif1a	Mboat2	0.69424	50.33	0.829	rgb(226, 59, 60)	1.9976	None
Ikzf3	Stat2	0.69424	50.33	0.83	rgb(226, 58, 60)	1.9976	None
Stat3	Sbno2	0.69424	50.33	0.826	rgb(226, 59, 61)	1.9976	None
Stat3	Bcl3	0.69424	50.32	0.817	rgb(226, 61, 63)	1.9974	None
Stat3	Gem	0.69424	50.32	0.821	rgb(226, 60, 62)	1.9974	None
Hif1a	2310022B05Rik	0.69424	50.31	0.808	rgb(226, 63, 64)	1.9972	None
Hif1a	Ero1l	0.69424	50.31	0.811	rgb(226, 62, 64)	1.9972	None
Hif1a	Pafah1b3	0.69424	50.31	0.809	rgb(226, 62, 64)	1.9972	None
Hif1a	Pfkp	0.69424	50.31	0.808	rgb(226, 63, 64)	1.9972	None
Irf4	Ppp3ca	-0.69424	50.31	-8.1E-01	rgb( 42,111,248)	1.9972	None
Irf4	Twist1	-0.69424	50.31	-8.1E-01	rgb( 41,110,248)	1.9972	None
Stat3	Lamc2	0.69424	50.31	0.815	rgb(226, 61, 63)	1.9972	None
E2f4	Cdc25b	0.69424	50.3	0.801	rgb(226, 64, 66)	1.997	None
Hif1a	P4hb	0.69424	50.3	0.798	rgb(226, 65, 66)	1.997	None
Hif1a	Pgm2	0.69424	50.3	0.795	rgb(226, 65, 67)	1.997	None
Ikzf3	Thoc3	-0.69424	50.3	-8.0E-01	rgb( 42,111,248)	1.997	None
Stat3	Rorc	0.69424	50.3	0.797	rgb(226, 65, 66)	1.997	None
Batf	Batf	0.69424	50.29	0.792	rgb(226, 66, 67)	1.9968	None
E2f4	E2f7	0.69424	50.29	0.793	rgb(226, 66, 67)	1.9968	None
Hif1a	H2-Ab1	0.69424	50.29	0.794	rgb(226, 65, 67)	1.9968	None
Ikzf3	Fastkd2	-0.69424	50.29	-7.9E-01	rgb( 46,113,247)	1.9968	None
Irf4	Loxl2	-0.69424	50.29	-7.9E-01	rgb( 47,113,247)	1.9968	2,2
Hif1a	Bcar1	0.69424	50.28	0.78	rgb(226, 68, 70)	1.9966	None
Hif1a	Jmjd6	0.69424	50.28	0.78	rgb(226, 68, 69)	1.9966	None
Hif1a	Matk	0.69424	50.28	0.78	rgb(226, 68, 70)	1.9966	None
Rela	Ahnak	0.69424	50.28	0.781	rgb(226, 68, 69)	1.9966	None
Rorc	Furin	0.69424	50.28	0.783	rgb(226, 67, 69)	1.9966	None
Stat3	Hpcal4	0.69424	50.28	0.784	rgb(226, 67, 69)	1.9966	None
Stat3	Ncs1	0.69424	50.28	0.78	rgb(226, 68, 70)	1.9966	None
Stat3	Trim46	0.69424	50.28	0.775	rgb(226, 69, 70)	1.9966	None
Stat3	Tspan5	0.69424	50.28	0.779	rgb(226, 68, 70)	1.9966	None
Zfp385a	Zmat3	0.69424	50.28	0.775	rgb(226, 69, 70)	1.9966	2,2
Batf	H2-Q10	0.69424	50.27	0.765	rgb(225, 71, 72)	1.9964	None
Fosl2	Tgfb3	0.69424	50.27	0.766	rgb(225, 71, 72)	1.9964	None
Hif1a	Aldoc	0.69424	50.27	0.775	rgb(226, 69, 71)	1.9964	None
Hif1a	Plcxd1	0.69424	50.27	0.773	rgb(226, 69, 71)	1.9964	None
Hif1a	Sap30	0.69424	50.27	0.768	rgb(225, 70, 72)	1.9964	None
Irf4	Cd83	-0.69424	50.27	-7.7E-01	rgb( 50,116,246)	1.9964	None
Irf4	Lrrn3	-0.69424	50.27	-7.7E-01	rgb( 50,115,246)	1.9964	None
Maf	Ifih1	-0.69424	50.27	-7.7E-01	rgb( 49,115,246)	1.9964	None
Maf	Nipal1	0.69424	50.27	0.773	rgb(226, 69, 71)	1.9964	None
Rorc	Vax2	0.69424	50.27	0.768	rgb(225, 70, 72)	1.9964	None
Atf6	Txndc17	0.69424	50.26	0.757	rgb(225, 72, 74)	1.9962	None
Atf6	Xpnpep1	-0.69424	50.26	-7.6E-01	rgb( 51,116,246)	1.9962	None
E2f1	Slfn3	0.69424	50.26	0.757	rgb(225, 72, 74)	1.9962	None
Etv6	Ppp1r13l	-0.69424	50.26	-7.6E-01	rgb( 53,117,246)	1.9962	None
Hif1a	Kremen2	0.69424	50.26	0.764	rgb(225, 71, 73)	1.9962	None
Irf4	Arrb2	0.69424	50.26	0.764	rgb(225, 71, 73)	1.9962	None
Irf4	Atp8b4	-0.69424	50.26	-7.6E-01	rgb( 53,117,246)	1.9962	None
Irf4	Fam160a1	-0.69424	50.26	-7.6E-01	rgb( 53,117,246)	1.9962	2,2
Irf4	Wnt1	-0.69424	50.26	-7.6E-01	rgb( 52,117,246)	1.9962	None
Stat3	Flot1	0.69424	50.26	0.764	rgb(225, 71, 73)	1.9962	None
