TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Hsf1	BC065397	0.99871	50.005	0.505	rgb(223,121,122)	1.9954	None
Egr3	Rnh1	-0.99868	50.015	-5.1E-01	rgb(106,150,236)	1.9956	None
Zeb2	Akr1b8	0.99868	50.13	0.632	rgb(224, 96, 98)	1.9979	2,2
Zfp629	Tbc1d16	0.99866	50.03	0.528	rgb(223,116,117)	1.9959	2,2
Thap3	Dpm3	0.99864	50.01	0.509	rgb(223,120,121)	1.9955	2,2
Zfp385a	Ccng1	0.99862	50.005	0.504	rgb(223,121,122)	1.9954	2,2
C030039L03Rik	Ankzf1	0.9986	50.08	0.583	rgb(223,106,107)	1.9969	2,2
Zfp429	Ubiad1	-0.99858	50.005	-5.0E-01	rgb(108,151,236)	1.9954	2,2
Zfp277	Vamp4	0.99857	50.03	0.533	rgb(223,115,116)	1.9959	2,2
Zeb2	Ptger2	0.99855	50.005	0.503	rgb(223,121,122)	1.9954	2,2
Zfp429	Dixdc1	-0.99853	50	-5.0E-01	rgb(109,151,236)	1.9953	2,2
E2f1	Ptpn11	0.99851	50.04	0.54	rgb(223,114,115)	1.9961	None
Akna	Proz	0.99849	50	0.5	rgb(222,122,123)	1.9953	2,2
Zfp629	Trpv2	-0.99847	50.01	-5.1E-01	rgb(105,149,237)	1.9955	2,2
Zfp618	Trpa1	0.99845	50.01	0.511	rgb(223,119,120)	1.9955	2,2
Zbed3	Zkscan17	0.99843	50.08	0.581	rgb(223,106,107)	1.9969	2,2
Tigd2	Gprin3	0.99842	49.985	0.486	rgb(222,124,125)	1.995	2,2
Zeb2	Srgap3	0.9984	49.985	0.486	rgb(222,124,125)	1.995	2,2
Zfp536	Pls1	0.99838	50.01	0.508	rgb(223,120,121)	1.9955	2,2
Zfp385a	Zfp750	0.99834	50.025	0.524	rgb(223,117,118)	1.9958	2,2
Zfp526	Fbxo21	0.99834	50.025	0.528	rgb(223,116,117)	1.9958	2,2
Zfp629	Mpp3	0.9983	49.99	0.487	rgb(222,124,125)	1.9951	2,2
Zkscan17	Icam2	-0.9983	49.99	-4.9E-01	rgb(110,152,236)	1.9951	2,2
Crem	Plaur	0.99827	49.98	0.482	rgb(222,125,126)	1.9949	None
Zfp367	Apitd1	0.99827	49.98	0.481	rgb(222,125,126)	1.9949	2,2
Terf1	2310033P09Rik	0.99825	49.98	0.478	rgb(222,126,127)	1.9949	2,2
Mbnl2	Pak1	0.99821	50.02	0.52	rgb(223,118,119)	1.9957	2,2
Nr4a2	Serpine2	0.99821	50.02	0.521	rgb(223,117,119)	1.9957	None
Zfp367	Rpa2	0.99819	50.01	0.511	rgb(223,119,120)	1.9955	2,2
Zbtb32	Trpv2	0.99816	49.98	0.48	rgb(222,125,126)	1.9949	2,2
Zfp960	Ifi204	0.99816	49.98	0.478	rgb(222,126,127)	1.9949	2,2
Ankzf1	3110057O12Rik	0.99814	50.005	0.504	rgb(223,121,122)	1.9954	2,2
Sgsm2	Dlg3	0.99812	49.985	0.484	rgb(222,125,125)	1.995	2,2
Zfp629	Rcor2	0.9981	50	0.501	rgb(223,121,122)	1.9953	2,2
Tulp2	Qrich2	0.99808	49.98	0.476	rgb(222,126,127)	1.9949	2,2
Zfp827	Susd3	-0.99806	49.985	-4.9E-01	rgb(111,152,236)	1.995	2,2
Nfkb1	Ptpn11	0.99804	49.975	0.471	rgb(222,127,128)	1.9948	None
Zfp536	Tmem37	0.99802	49.995	0.496	rgb(222,122,123)	1.9952	2,2
Cxxc5	Nod1	0.99801	49.99	0.486	rgb(222,124,125)	1.9951	2,2
Zfp960	Spats2	-0.99799	50.005	-5.0E-01	rgb(108,151,236)	1.9954	2,2
Ncoa1	Tmem184b	0.99797	49.97	0.472	rgb(222,127,128)	1.9947	2,2
Zfp771	Tmem158	0.99795	49.97	0.471	rgb(222,127,128)	1.9947	2,2
Zfp365	Psrc1	0.99793	49.97	0.47	rgb(222,127,128)	1.9947	2,2
Zbtb5	Cd24a	-0.99791	49.975	-4.8E-01	rgb(114,154,235)	1.9948	2,2
Zfp280c	Rfx7	0.99789	50.02	0.521	rgb(223,118,119)	1.9957	2,2
Mxi1	Tnfrsf21	0.99788	49.995	0.068	rgb(218,204,204)	1.9952	None
Zbtb33	Rexo4	0.99786	49.97	0.008	rgb(217,215,216)	1.9947	None
Fbxl19	Mex3d	0.99784	50.005	0.503	rgb(223,121,122)	1.9954	2,2
Zfp280b	Rnf150	0.9978	49.965	0.466	rgb(222,128,129)	1.9946	2,2
Zfp385a	Dcxr	0.9978	49.965	0.464	rgb(222,128,129)	1.9946	2,2
Tbx6	Vasn	0.99776	49.965	0.465	rgb(222,128,129)	1.9946	2,2
Zscan29	Smarca2	0.99776	49.965	0.466	rgb(222,128,129)	1.9946	2,2
Srf	Wdr1	0.99775	49.98	0.479	rgb(222,126,126)	1.9949	None
Zfp629	Prkrir	0.99773	49.965	0.466	rgb(222,128,129)	1.9946	2,2
Zbtb46	Tmem120b	0.99771	49.965	0.468	rgb(222,128,129)	1.9946	2,2
Zfp787	Zfp668	0.99769	49.975	0.478	rgb(222,126,127)	1.9948	2,2
Cux1	Epb4.1l2	0.99767	50.045	0.548	rgb(223,112,113)	1.9962	2,2
Zfp536	Tlcd1	-0.99765	49.97	-4.7E-01	rgb(115,155,235)	1.9947	2,2
Zfp367	Mapk11	-0.99763	50.025	-5.2E-01	rgb(104,148,237)	1.9958	2,2
Klf4	Gprc5a	0.9976	49.96	0.456	rgb(222,130,131)	1.9945	None
Zfp473	Trim46	0.9976	49.96	0.461	rgb(222,129,130)	1.9945	2,2
Cenpt	Vav2	-0.99758	49.99	-4.9E-01	rgb(111,152,236)	1.9951	2,2
Smad3	Ssbp4	0.99756	49.96	0.459	rgb(222,129,130)	1.9945	None
Snapc2	Fbxo30	-0.99752	49.965	-4.7E-01	rgb(116,156,235)	1.9946	2,2
Zfp277	Zkscan17	0.99752	49.965	0.464	rgb(222,128,129)	1.9946	2,2
Crebl2	Dgat1	0.99748	49.955	0.455	rgb(222,130,131)	1.9944	2,2
Cux1	Gyk	-0.99748	49.955	-4.6E-01	rgb(118,157,234)	1.9944	2,2
Zfp473	Sema6b	0.99747	49.985	0.486	rgb(222,124,125)	1.995	2,2
Zfp629	Qprt	-0.99745	49.955	-4.5E-01	rgb(119,157,234)	1.9944	2,2
Gata3	Ccr8	0.99743	49.97	0.473	rgb(222,127,128)	1.9947	None
Irf7	Gbp10	0.99741	50.045	0.542	rgb(223,113,115)	1.9962	None
Zfp64	Fbxw2	-0.99739	49.995	-4.9E-01	rgb(110,152,236)	1.9952	2,2
Kdm5b	Ppap2c	0.99737	49.955	0.451	rgb(222,131,132)	1.9944	2,2
C030039L03Rik	Gapdhs	0.99735	50.085	0.586	rgb(223,105,106)	1.997	2,2
Zfp473	Skap2	0.99734	49.95	0.45	rgb(222,131,132)	1.9943	2,2
Zfp429	Ankrd33b	0.99732	49.975	0.471	rgb(222,127,128)	1.9948	2,2
Zfp516	Plag1	0.9973	49.965	0.466	rgb(222,128,129)	1.9946	2,2
Thap3	Snx19	-0.99728	49.95	-4.5E-01	rgb(119,158,234)	1.9943	2,2
Zfp951	Guca1b	0.99726	49.99	0.493	rgb(222,123,124)	1.9951	2,2
Stat1	Ildr1	0.99722	49.975	0.476	rgb(222,126,127)	1.9948	None
Trps1	Ctla4	0.99722	49.975	0.473	rgb(222,127,128)	1.9948	2,2
Zfp358	Zfp580	0.99721	49.95	0.446	rgb(222,132,133)	1.9943	2,2
Smad3	Mpzl2	-0.99719	49.945	-5.1E-03	rgb(216,216,217)	1.9942	None
C030039L03Rik	Nphp3	0.99717	49.95	0.449	rgb(222,131,132)	1.9943	2,2
Smad3	Cxcr5	0.99715	49.99	0.488	rgb(222,124,125)	1.9951	None
Zbtb17	Cisd3	-0.99713	49.955	-4.6E-01	rgb(118,157,234)	1.9944	2,2
Nfkb1	Atp1a1	0.99711	49.945	0.449	rgb(222,131,132)	1.9942	None
Dzip1	Uggt2	0.99709	49.975	0.475	rgb(222,126,127)	1.9948	2,2
Zhx2	Sema6b	-0.99707	49.945	-4.4E-01	rgb(121,158,234)	1.9942	2,2
Ets2	Flt3l	-0.99706	50	-1.4E-01	rgb(188,199,222)	1.9953	None
Zfp629	Zfp108	0.99704	49.945	0.446	rgb(222,132,133)	1.9942	2,2
Zfp750	Pik3r3	0.997	49.94	0.44	rgb(222,133,134)	1.9941	2,2
Zfp958	Ccng1	0.997	49.94	0.444	rgb(222,132,133)	1.9941	2,2
Zfp266	Ybey	0.99698	49.94	0.436	rgb(222,134,135)	1.9941	2,2
Zfp365	Eda2r	0.99696	49.97	0.471	rgb(222,127,128)	1.9947	2,2
Irf9	Pyhin1	0.99694	50	0.504	rgb(223,121,122)	1.9953	None
Foxp2	Ntrk3	0.99693	49.955	0.455	rgb(222,130,131)	1.9944	2,2
Zfp629	Spib	-0.99691	49.95	-4.5E-01	rgb(120,158,234)	1.9943	2,2
Zfp277	Exosc8	0.99689	49.98	0.482	rgb(222,125,126)	1.9949	2,2
Ncoa1	S100a3	0.99687	49.94	0.44	rgb(222,133,134)	1.9941	2,2
