TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Stat3	Gem	1	50.91	0.911	rgb(227, 43, 45)	2	None
Hif1a	Egln1	0.99767	50.86	0.861	rgb(226, 53, 54)	1.999	None
Hif1a	Jmjd6	0.99767	50.86	0.855	rgb(226, 54, 55)	1.999	None
Irf4	Myo1e	-0.99767	50.86	-8.6E-01	rgb( 31,104,250)	1.999	None
Hif1a	Arrb1	0.99533	50.85	0.851	rgb(226, 54, 56)	1.9988	None
Ikzf3	Fastkd2	-0.99533	50.85	-8.5E-01	rgb( 33,105,249)	1.9988	None
Ikzf3	Pank2	0.99533	50.85	0.854	rgb(226, 54, 56)	1.9988	None
Atf6	Dpm3	0.993	50.84	0.84	rgb(226, 57, 58)	1.9986	None
Atf6	Rps14	0.993	50.84	0.841	rgb(226, 56, 58)	1.9986	None
Irf4	Exoc2	-0.993	50.84	-8.4E-01	rgb( 36,107,249)	1.9986	None
Lef1	Rps6ka4	0.993	50.84	0.838	rgb(226, 57, 59)	1.9986	None
Stat3	Ctla2a	0.993	50.84	0.84	rgb(226, 56, 58)	1.9986	None
Stat3	Ppm1j	0.993	50.84	0.843	rgb(226, 56, 58)	1.9986	None
Atf6	Apitd1	0.99067	50.83	0.828	rgb(226, 59, 61)	1.9984	None
Stat3	Malt1	0.99067	50.83	0.827	rgb(226, 59, 61)	1.9984	None
Hif1a	Mboat2	0.98833	50.82	0.818	rgb(226, 61, 62)	1.9982	None
Hif1a	Ppme1	0.98833	50.82	0.82	rgb(226, 60, 62)	1.9982	None
Stat3	Tnip2	0.98833	50.82	0.824	rgb(226, 60, 61)	1.9982	None
Atf6	Syf2	0.986	50.81	0.806	rgb(226, 63, 65)	1.998	None
Fosl2	Ppm1j	0.986	50.81	0.807	rgb(226, 63, 64)	1.998	None
Hif1a	Aldoc	0.986	50.81	0.813	rgb(226, 62, 63)	1.998	None
Hif1a	Bnip3	0.986	50.81	0.805	rgb(226, 63, 65)	1.998	None
Irf4	Loxl2	-0.986	50.81	-8.1E-01	rgb( 41,110,248)	1.998	2,2
Fosl2	Tgm1	0.98367	50.8	0.8	rgb(226, 64, 66)	1.9978	None
Stat3	Sec14l1	0.98367	50.8	0.799	rgb(226, 64, 66)	1.9978	None
Rorc	Furin	0.98133	50.79	0.788	rgb(226, 66, 68)	1.9976	None
Stat3	Atp2b4	0.98133	50.79	0.789	rgb(226, 66, 68)	1.9976	None
Atf6	Exosc8	0.979	50.78	0.78	rgb(226, 68, 70)	1.9974	None
Hif1a	P4ha2	0.979	50.78	0.784	rgb(226, 67, 69)	1.9974	None
Irf4	Abcd3	-0.979	50.78	-7.8E-01	rgb( 47,114,247)	1.9974	None
Stat3	Adarb1	0.979	50.78	0.779	rgb(226, 68, 70)	1.9974	None
Stat3	Ncs1	0.979	50.78	0.78	rgb(226, 68, 70)	1.9974	None
Atf6	Xpnpep1	-0.97667	50.77	-7.7E-01	rgb( 49,115,246)	1.9972	None
Hif1a	Sertad1	0.97667	50.77	0.77	rgb(225, 70, 71)	1.9972	None
Hif1a	Smtnl2	0.97667	50.77	0.765	rgb(225, 71, 72)	1.9972	None
Hif1a	Unc13a	0.97667	50.77	0.767	rgb(225, 70, 72)	1.9972	None
Irf4	Chst3	-0.97667	50.77	-7.7E-01	rgb( 51,116,246)	1.9972	None
Irf4	Irf4	0.97667	50.77	0.767	rgb(225, 70, 72)	1.9972	None
Irf4	Sesn1	-0.97667	50.77	-7.7E-01	rgb( 50,115,246)	1.9972	None
Nfe2l2	Dhcr24	0.97667	50.77	0.771	rgb(225, 70, 71)	1.9972	None
Satb1	Kctd17	0.97667	50.77	0.775	rgb(226, 69, 71)	1.9972	None
Stat3	Il21	0.97667	50.77	0.773	rgb(225, 69, 71)	1.9972	None
Stat3	Kif26b	-0.97667	50.77	-7.7E-01	rgb( 49,115,246)	1.9972	None
