TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp386	Spry1	-0.99875	50.0075	-5.1E-01	rgb(107,150,236)	1.9959	2,2
Zfp385a	Cox6b2	0.99873	49.98	0.48	rgb(222,125,126)	1.9954	2,2
Plscr1	Clic4	0.99871	50.0325	0.533	rgb(223,115,116)	1.9964	2,2
Drap1	Sepw1	0.9987	49.9825	0.483	rgb(222,125,126)	1.9954	2,2
Zik1	Mvp	-0.99868	49.9775	-4.8E-01	rgb(113,154,235)	1.9953	2,2
Zbtb44	Trove2	0.99866	49.965	0.463	rgb(222,129,129)	1.9951	2,2
Ski	Slc43a2	0.99864	50.04	0.54	rgb(223,114,115)	1.9966	2,2
Sgsm2	Plxnc1	0.99862	49.9975	0.497	rgb(222,122,123)	1.9957	2,2
Drap1	Anapc1	-0.9986	49.9775	-4.8E-01	rgb(113,154,235)	1.9953	2,2
Zfp956	Ppcdc	0.99858	49.97	0.47	rgb(222,127,128)	1.9952	2,2
Zfp750	1700007K13Rik	0.99857	49.96	0.46	rgb(222,129,130)	1.995	2,2
Zfp365	Eda2r	0.99855	49.965	0.466	rgb(222,128,129)	1.9951	2,2
Zfp608	Serpinb1a	0.99853	49.9825	0.484	rgb(222,124,125)	1.9954	2,2
Zfp407	Mpdu1	-0.99851	50	-5.0E-01	rgb(109,151,236)	1.9958	2,2
Mxd3	9530077C05Rik	0.99849	49.9675	0.465	rgb(222,128,129)	1.9951	2,2
Zfp354c	Acpp	0.99847	49.985	0.485	rgb(222,124,125)	1.9955	2,2
Zfp536	Itsn1	0.99845	50.01	0.514	rgb(223,119,120)	1.996	2,2
Drap1	Fth1	0.99843	49.9625	0.464	rgb(222,128,129)	1.995	2,2
Kdm5b	Pfkp	0.99842	50	0.499	rgb(222,122,123)	1.9958	2,2
C030039L03Rik	Kcnc3	0.9984	49.9825	0.482	rgb(222,125,126)	1.9954	2,2
Zfp568	Prodh	0.99838	49.9675	0.468	rgb(222,128,128)	1.9951	2,2
Zfp629	Tbc1d16	0.99836	49.96	0.464	rgb(222,128,129)	1.995	2,2
Zfp608	Gap43	0.99834	49.97	0.471	rgb(222,127,128)	1.9952	2,2
Zhx2	Sema6b	-0.99832	50.0025	-5.0E-01	rgb(108,151,236)	1.9958	2,2
Zfp385a	Phlda3	0.9983	49.97	0.47	rgb(222,127,128)	1.9952	2,2
Zfp385a	Zfp750	0.99829	49.99	0.493	rgb(222,123,124)	1.9956	2,2
Zfp449	Tcea3	0.99827	49.955	0.455	rgb(222,130,131)	1.9949	2,2
Zfp385a	Slc19a2	0.99825	49.96	0.459	rgb(222,129,130)	1.995	2,2
Zfp277	Fam120c	-0.99823	50.0125	-5.1E-01	rgb(106,150,236)	1.996	2,2
Zfp750	Mex3d	-0.99821	49.965	-4.6E-01	rgb(116,156,235)	1.9951	2,2
Zfp960	Ifi204	0.99819	49.975	0.477	rgb(222,126,127)	1.9953	2,2
Jazf1	Enpp4	-0.99817	49.9675	-4.7E-01	rgb(116,155,235)	1.9951	2,2
Atmin	Gramd1b	0.99816	49.9625	0.461	rgb(222,129,130)	1.995	2,2
Prdm2	Bcor	0.99814	49.97	0.47	rgb(222,127,128)	1.9952	2,2
Thap3	Cox7a2l	0.99812	49.96	0.46	rgb(222,129,130)	1.995	2,2
Zfp184	Maoa	0.9981	49.98	0.481	rgb(222,125,126)	1.9954	2,2
Zfp868	Orm2	0.99808	49.95	0.449	rgb(222,131,132)	1.9948	2,2
Zfp629	Hemgn	0.99806	49.9475	0.448	rgb(222,131,132)	1.9947	2,2
Zfp385a	Plxna1	0.99804	49.945	0.445	rgb(222,132,133)	1.9947	2,2
Zfp35	Mmachc	0.99802	49.9725	0.473	rgb(222,127,128)	1.9952	2,2
Zfp367	Apitd1	0.99801	50.0075	0.507	rgb(223,120,121)	1.9959	2,2
Dzip1	Uggt2	0.99799	49.975	0.475	rgb(222,126,127)	1.9953	2,2
Zfp787	Zfp668	0.99797	50.02	0.52	rgb(223,118,119)	1.9962	2,2
Zfp280b	Rnf150	0.99795	49.94	0.436	rgb(222,134,135)	1.9946	2,2
Zbtb17	Il10rb	-0.99793	49.9425	-4.4E-01	rgb(121,158,234)	1.9946	2,2
Zfp667	Vps37d	0.99791	49.9575	0.456	rgb(222,130,131)	1.9949	2,2
Zfp266	Cdk6	0.99789	49.975	0.475	rgb(222,126,127)	1.9953	2,2
Lcorl	Cmtm4	0.99788	49.95	0.449	rgb(222,131,132)	1.9948	2,2
Zbtb32	Trpv2	0.99786	49.9675	0.467	rgb(222,128,129)	1.9951	2,2
Zscan22	Mmachc	0.99784	49.955	0.456	rgb(222,130,131)	1.9949	2,2
Zkscan17	Mgat4b	0.99782	49.935	0.435	rgb(222,134,135)	1.9945	2,2
Sgsm2	Cul9	0.9978	49.9325	0.432	rgb(222,134,135)	1.9944	2,2
Zfp580	Psmd8	0.99778	49.9675	0.465	rgb(222,128,129)	1.9951	2,2
Zfp629	Atf6	0.99776	49.9475	0.448	rgb(222,132,132)	1.9947	2,2
Zfp429	Fbxo44	0.99775	49.9425	0.444	rgb(222,132,133)	1.9946	2,2
Zfp385a	Robo3	0.99773	49.94	0.442	rgb(222,133,134)	1.9946	2,2
Zfp385a	Slc2a4	0.99771	49.9425	0.445	rgb(222,132,133)	1.9946	2,2
Thap1	Dffb	0.99769	49.965	0.465	rgb(222,128,129)	1.9951	None
Zfp280b	Ap1s3	0.99767	49.93	0.43	rgb(222,135,136)	1.9944	2,2
Tulp2	Tnnt3	0.99765	49.9725	0.472	rgb(222,127,128)	1.9952	2,2
Phf20	Tst	0.99763	49.9375	0.439	rgb(222,133,134)	1.9945	2,2
Skil	Aim1	0.99762	49.945	0.444	rgb(222,132,133)	1.9947	2,2
Zbtb5	Cd24a	-0.9976	49.9325	-4.3E-01	rgb(124,160,233)	1.9944	2,2
Zfp960	Masp2	0.99758	49.93	0.428	rgb(222,135,136)	1.9944	2,2
Zfp280b	Npas2	0.99756	49.94	0.438	rgb(222,133,134)	1.9946	2,2
Tfdp2	Appl2	0.99754	49.96	0.459	rgb(222,129,130)	1.995	2,2
Nkrf	Pygl	-0.99752	49.94	-4.4E-01	rgb(121,159,234)	1.9946	2,2
Zfp960	Lhx2	0.9975	49.935	0.434	rgb(222,134,135)	1.9945	2,2
Zfp277	Exosc8	0.99748	49.96	0.46	rgb(222,129,130)	1.995	2,2
Ncoa1	Eci1	-0.99747	49.9325	-4.3E-01	rgb(123,160,233)	1.9944	2,2
Zfp827	Susd3	-0.99745	49.975	-4.7E-01	rgb(114,155,235)	1.9953	2,2
Zfp629	Zkscan17	0.99743	49.93	0.429	rgb(222,135,136)	1.9944	2,2
Kdm5b	Rasgef1b	-0.99741	49.9325	-4.4E-01	rgb(122,159,234)	1.9944	2,2
Zfp113	Cep76	-0.99739	49.96	-4.6E-01	rgb(117,156,234)	1.995	2,2
Zmat1	Fam120c	0.99737	49.9675	0.468	rgb(222,128,129)	1.9951	2,2
Ovol2	Sgip1	0.99735	49.9325	0.432	rgb(222,135,135)	1.9944	2,2
Zfp266	Ybey	0.99734	49.925	0.425	rgb(222,136,137)	1.9943	2,2
Zfp808	Pla2g4c	0.99732	49.9225	0.421	rgb(222,136,137)	1.9942	2,2
Zfp831	Inpp4a	0.9973	49.935	0.433	rgb(222,134,135)	1.9945	2,2
Zfp429	Zfp874a	0.99728	49.975	0.474	rgb(222,127,127)	1.9953	2,2
Foxp1	Dgat1	-0.99726	49.96	-4.6E-01	rgb(117,156,234)	1.995	2,2
Zfp951	Rab4a	-0.99724	49.925	-4.2E-01	rgb(125,161,233)	1.9943	2,2
Ybx2	Fam198a	0.99722	49.935	0.438	rgb(222,133,134)	1.9945	2,2
Stat1	Icam1	0.99721	49.9675	0.468	rgb(222,128,128)	1.9951	None
Rlf	Sumf2	-0.99719	49.9325	-4.3E-01	rgb(124,160,233)	1.9944	2,2
Foxp1	Adam9	-0.99717	49.9225	-4.2E-01	rgb(125,161,233)	1.9942	2,2
Zfp629	Zfp108	0.99715	49.9325	0.433	rgb(222,134,135)	1.9944	2,2
Zfp365	4930429B21Rik	0.99713	49.925	0.425	rgb(222,136,137)	1.9943	2,2
Zfp367	Wdr76	0.99711	49.97	0.468	rgb(222,128,128)	1.9952	2,2
Casz1	Dusp8	0.99709	49.92	0.42	rgb(222,137,138)	1.9942	2,2
L3mbtl3	Piga	-0.99707	49.9575	-4.6E-01	rgb(118,157,234)	1.9949	2,2
Zfp473	Skap2	0.99706	49.93	0.432	rgb(222,134,135)	1.9944	2,2
Mxi1	Aen	-0.99704	49.96	-3.3E-01	rgb(146,174,229)	1.995	None
Stat2	Gbp5	0.99702	49.9575	0.456	rgb(222,130,131)	1.9949	None
Zfp668	Dcakd	0.997	49.9475	0.449	rgb(222,131,132)	1.9947	2,2
Phf1	Znrf1	0.99698	49.925	0.425	rgb(222,136,137)	1.9943	2,2
Zfp386	Atp6v1d	0.99696	49.96	0.46	rgb(222,129,130)	1.995	2,2
Zfp750	Sulf2	0.99694	49.92	0.422	rgb(222,136,137)	1.9942	2,2
