TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.93	0.929	rgb(227, 39, 41)	2	2,2
Irf7	Rtp4	0.99819	50.89	0.886	rgb(227, 48, 50)	1.9992	None
Irf1	Nlrc5	0.99638	50.87	0.87	rgb(227, 51, 53)	1.9988	2,2
Rorc	Lingo4	0.99457	50.85	0.848	rgb(226, 55, 57)	1.9984	2,2
Irf1	Tbx21	0.99276	50.84	0.836	rgb(226, 57, 59)	1.9982	2,2
Srebf1	Fads2	0.99276	50.84	0.84	rgb(226, 57, 58)	1.9982	None
Sp110	Cdkn2d	0.99095	50.83	0.835	rgb(226, 58, 59)	1.998	2,2
Zfp182	Fyco1	0.99095	50.83	0.832	rgb(226, 58, 60)	1.998	2,2
Irf7	Rsad2	0.98915	50.82	0.82	rgb(226, 60, 62)	1.9978	None
Srebf2	Dhcr24	0.98915	50.82	0.819	rgb(226, 61, 62)	1.9978	None
Irf1	Igtp	0.98734	50.79	0.787	rgb(226, 67, 68)	1.9972	None
Irf7	Xaf1	0.98734	50.79	0.793	rgb(226, 66, 67)	1.9972	None
Zfp367	Dtl	0.98734	50.79	0.793	rgb(226, 65, 67)	1.9972	2,2
Zfp385a	Zmat3	0.98734	50.79	0.795	rgb(226, 65, 67)	1.9972	2,2
Nfkb2	Psd	0.98553	50.78	0.781	rgb(226, 68, 69)	1.997	2,2
Nr4a1	Nr4a3	0.98553	50.78	0.784	rgb(226, 67, 69)	1.997	2,2
Ahrr	Cyp1b1	0.98372	50.77	0.765	rgb(225, 71, 72)	1.9968	None
Irf7	Ifit1	0.98372	50.77	0.771	rgb(225, 70, 71)	1.9968	None
Irf9	Irf7	0.98372	50.77	0.772	rgb(225, 70, 71)	1.9968	None
Zfp385a	Eng	0.98372	50.77	0.774	rgb(226, 69, 71)	1.9968	2,2
Zfp367	Rpa2	0.98191	50.76	0.762	rgb(225, 71, 73)	1.9966	2,2
Elk3	Capg	0.9801	50.75	0.749	rgb(225, 74, 75)	1.9964	2,2
Whsc1	Fancm	0.9801	50.75	0.751	rgb(225, 73, 75)	1.9964	2,2
Irf7	I830012O16Rik	0.97829	50.74	0.739	rgb(225, 76, 77)	1.9962	2,2
Nr4a3	Nr4a1	0.97829	50.74	0.737	rgb(225, 76, 78)	1.9962	2,2
Tulp3	Tbc1d14	0.97829	50.74	0.745	rgb(225, 75, 76)	1.9962	2,2
Cux1	Epb4.1l2	0.97648	50.73	0.727	rgb(225, 78, 80)	1.996	2,2
Mxd3	Cdc25b	0.97648	50.73	0.733	rgb(225, 77, 78)	1.996	2,2
Tead1	Nupr1	0.97648	50.73	0.73	rgb(225, 78, 79)	1.996	None
Zfp329	Neat1	0.97648	50.73	0.73	rgb(225, 78, 79)	1.996	2,2
Zfp473	Fkrp	-0.97648	50.73	-7.3E-01	rgb( 58,120,245)	1.996	2,2
Zfp777	Cnnm3	0.97648	50.73	0.727	rgb(225, 78, 80)	1.996	2,2
Irf7	Ifit3	0.97467	50.72	0.725	rgb(225, 79, 80)	1.9958	2,2
Srebf1	Insig1	0.97467	50.72	0.718	rgb(225, 80, 81)	1.9958	2,2
Stat4	Tgfbr1	-0.97467	50.72	-7.2E-01	rgb( 61,122,244)	1.9958	2,2
Foxs1	Mylk2	0.97467	50.72	0.721	rgb(225, 79, 81)	1.9958	2,2
Zfp467	Sspo	0.97467	50.72	0.72	rgb(225, 79, 81)	1.9958	2,2
Irf1	Fam26f	0.97286	50.71	0.711	rgb(225, 81, 83)	1.9956	None
Irf1	Gbp4	0.97286	50.71	0.708	rgb(225, 82, 83)	1.9956	None
Irf1	Gbp6	0.97286	50.71	0.708	rgb(225, 82, 83)	1.9956	None
Tcf12	Mycbp2	0.97286	50.71	0.709	rgb(225, 82, 83)	1.9956	2,2
C030039L03Rik	Ankzf1	0.97286	50.71	0.713	rgb(225, 81, 82)	1.9956	2,2
Tfdp2	Oxct1	0.97286	50.71	0.712	rgb(225, 81, 83)	1.9956	2,2
Zfp367	Exo1	0.97286	50.71	0.712	rgb(225, 81, 82)	1.9956	2,2
Cebpg	Pck2	0.97106	50.7	0.703	rgb(225, 83, 84)	1.9954	2,2
Hes1	Spink2	0.97106	50.7	0.701	rgb(225, 83, 85)	1.9954	2,2
Rbpj	Vdr	0.97106	50.7	0.7	rgb(225, 83, 85)	1.9954	2,2
Kdm2b	Mxd1	-0.97106	50.7	-7.0E-01	rgb( 65,125,244)	1.9954	2,2
Zfp280c	Rfx7	0.97106	50.7	0.704	rgb(225, 83, 84)	1.9954	2,2
Ahr	Cdk16	0.96925	50.69	0.694	rgb(225, 85, 86)	1.9952	None
Foxo1	Icam5	-0.96925	50.69	-6.9E-01	rgb( 67,126,243)	1.9952	2,2
Prrx1	Cav1	0.96925	50.69	0.687	rgb(225, 86, 87)	1.9952	2,2
Adnp	Hist1h1b	-0.96925	50.69	-6.9E-01	rgb( 66,125,243)	1.9952	2,2
Epas1	Gata3	0.96744	50.68	0.677	rgb(224, 88, 89)	1.995	2,2
Irf7	Mx1	0.96744	50.68	0.681	rgb(224, 87, 88)	1.995	None
Irf7	Mx2	0.96744	50.68	0.683	rgb(225, 87, 88)	1.995	None
Srebf2	Sqle	0.96744	50.68	0.681	rgb(224, 87, 88)	1.995	None
Xbp1	Rap1gds1	0.96744	50.68	0.684	rgb(225, 86, 88)	1.995	2,2
C030039L03Rik	Muc2	0.96744	50.68	0.678	rgb(224, 87, 89)	1.995	2,2
C030039L03Rik	Per2	0.96744	50.68	0.685	rgb(225, 86, 88)	1.995	2,2
