Regulator	Target	Weight	stroke
Stat3	AI504432	1.611	rgb(221,140,141)
Rorc	AI504432	1.7342	rgb(222,134,135)
Fosl2	AI504432	-1.9323	rgb(112,153,235)
Hif1a	AI846148	1.4059	rgb(221,150,151)
Hif1a	AU022252	1.6022	rgb(221,140,141)
Etv6	AU040320	-1.4923	rgb(136,168,231)
Batf	AW112010	1.7664	rgb(222,133,133)
Maf	AW112010	-1.7531	rgb(122,159,234)
Stat3	AW112010	-1.6563	rgb(127,162,233)
Rorc	AW112010	-1.3615	rgb(143,172,230)
Batf	AW549877	-1.833	rgb(117,156,234)
Fosl2	AW549877	1.8312	rgb(222,129,130)
Batf	Aacs	-1.4508	rgb(138,169,231)
Hif1a	Aamp	1.5751	rgb(221,142,143)
Irf4	Aars	1.7959	rgb(222,131,132)
Maf	Abca1	-1.4239	rgb(140,170,231)
Stat3	Abca1	1.0224	rgb(220,168,169)
Rorc	Abca1	-1.0416	rgb(160,183,227)
Etv6	Abca1	1.0921	rgb(220,165,165)
Stat3	Abca2	1.4275	rgb(221,149,149)
Maf	Abcb1a	-1.1713	rgb(153,178,228)
Batf	Abcb1b	-1.141	rgb(155,179,228)
Maf	Abcb1b	-1.3115	rgb(146,174,229)
Fosl2	Abcb1b	-1.0468	rgb(160,182,227)
Batf	Abcb6	1.1478	rgb(220,162,163)
Hif1a	Abcb6	1.486	rgb(221,146,147)
Batf	Abcb9	1.6122	rgb(221,140,141)
Irf4	Abcb9	-1.3766	rgb(142,172,230)
Rorc	Abcb9	-1.1936	rgb(152,178,228)
Fosl2	Abcb9	1.4879	rgb(221,146,147)
Batf	Abcc1	1.139	rgb(220,163,163)
Irf4	Abcc1	1.0599	rgb(220,166,167)
Irf4	Abcd3	-1.7841	rgb(120,158,234)
Maf	Abcd3	-1.1333	rgb(155,180,228)
Stat3	Abcd3	1.1887	rgb(220,160,161)
Fosl2	Abce1	-1.487	rgb(136,168,231)
Fosl2	Abcf2	-1.399	rgb(141,171,230)
Batf	Abcg1	-1.7848	rgb(120,158,234)
Fosl2	Abcg1	1.8817	rgb(222,127,128)
Batf	Abhd12	-1.551	rgb(133,166,232)
Nfe2l2	Abhd14a	1.8551	rgb(222,128,129)
Nfe2l2	Abhd14b	1.5288	rgb(221,144,145)
Hif1a	Abhd8	1.3348	rgb(221,153,154)
Etv6	Abhd8	-1.6812	rgb(126,161,233)
Irf4	Abi2	1.0272	rgb(220,168,168)
Stat3	Abi2	1.1548	rgb(220,162,162)
Batf	Abi3	1.6704	rgb(222,137,138)
Irf4	Abi3	1.843	rgb(222,129,130)
Stat3	Abi3	1.9014	rgb(222,126,127)
Rorc	Ablim1	-1.7873	rgb(120,158,234)
Fosl2	Ablim1	1.9783	rgb(222,122,123)
Hif1a	Ablim1	1.3933	rgb(221,150,151)
Stat3	Abtb1	1.6869	rgb(222,136,137)
Hif1a	Abtb1	1.8369	rgb(222,129,130)
Etv6	Abtb1	-1.3984	rgb(141,171,230)
Batf	Abtb2	1.9082	rgb(222,126,127)
Irf4	Abtb2	1.978	rgb(222,122,123)
Maf	Abtb2	-1.9543	rgb(111,152,236)
Stat3	Abtb2	1.9419	rgb(222,124,125)
Hif1a	Abtb2	1.8193	rgb(222,130,131)
Maf	Acaa2	-1.2252	rgb(150,177,229)
Hif1a	Acaa2	1.356	rgb(221,152,153)
Fosl2	Acaca	-1.0164	rgb(162,183,227)
Maf	Acadl	-1.2841	rgb(147,175,229)
Rorc	Acadm	-1.5305	rgb(134,166,232)
Fosl2	Acadsb	1.6823	rgb(222,137,137)
Irf4	Acat3	-1.1478	rgb(155,179,228)
Rorc	Acbd5	-1.1448	rgb(155,179,228)
Stat3	Acly	1.0741	rgb(220,166,166)
Rorc	Acot13	-1.3603	rgb(143,172,230)
Fosl2	Acot13	1.5106	rgb(221,145,146)
Fosl2	Acot7	-1.3973	rgb(141,171,230)
Irf4	Acox1	1.3867	rgb(221,151,151)
Hif1a	Acox1	1.2678	rgb(220,156,157)
Batf	Acox3	1.7467	rgb(222,134,134)
Irf4	Acox3	1.6327	rgb(221,139,140)
Stat3	Acox3	1.2164	rgb(220,159,159)
Fosl2	Acox3	1.4791	rgb(221,146,147)
Batf	Acp5	1.7668	rgb(222,133,133)
Fosl2	Acp5	1.7717	rgb(222,132,133)
Hif1a	Acp5	1.7758	rgb(222,132,133)
Rorc	Acp6	-1.5511	rgb(133,166,232)
Fosl2	Acp6	1.1269	rgb(220,163,164)
Batf	Acsbg1	1.363	rgb(221,152,153)
Irf4	Acsbg1	-1.1997	rgb(152,177,228)
Fosl2	Acsbg1	1.7482	rgb(222,133,134)
Nfe2l2	Acsf2	1.1418	rgb(220,162,163)
Batf	Acsl3	-1.7556	rgb(122,159,234)
Stat3	Acsl3	1.1509	rgb(220,162,163)
Rorc	Acsl3	-1.127	rgb(156,180,228)
Batf	Acsl4	1.8901	rgb(222,127,128)
Irf4	Acsl4	1.8288	rgb(222,130,131)
Stat3	Acsl4	1.2513	rgb(220,157,158)
Fosl2	Acsl4	1.7782	rgb(222,132,133)
Batf	Acsl5	-1.8288	rgb(118,157,234)
Irf4	Acsl6	1.8292	rgb(222,130,130)
Maf	Acsl6	-1.6707	rgb(126,162,233)
Stat3	Acsl6	-1.7408	rgb(122,159,234)
Rorc	Acsl6	-1.5667	rgb(132,165,232)
Fosl2	Acsl6	-1.6514	rgb(127,162,233)
Nfe2l2	Acsl6	-1.1354	rgb(155,179,228)
Hif1a	Acsl6	1.2547	rgb(220,157,158)
Batf	Acss2	-1.6559	rgb(127,162,233)
Fosl2	Acss2	1.5927	rgb(221,141,142)
Stat3	Actn1	-1.2337	rgb(150,176,229)
Irf4	Acvrl1	1.445	rgb(221,148,149)
Fosl2	Acvrl1	1.0897	rgb(220,165,165)
Hif1a	Acvrl1	1.8558	rgb(222,128,129)
Batf	Adam10	-1.37	rgb(143,172,230)
Fosl2	Adam10	-1.204	rgb(152,177,228)
Irf4	Adam15	1.4443	rgb(221,148,149)
Stat3	Adam15	1.6638	rgb(222,137,138)
Fosl2	Adam15	1.0808	rgb(220,165,166)
Maf	Adam17	-1.1121	rgb(157,180,228)
Batf	Adam19	1.9901	rgb(222,122,123)
Maf	Adam19	-1.9796	rgb(110,152,236)
Stat3	Adam19	1.9734	rgb(222,123,124)
Rorc	Adam19	1.9696	rgb(222,123,124)
Irf4	Adamts6	-1.5295	rgb(134,166,232)
Maf	Adamts6	-1.2355	rgb(150,176,229)
Batf	Adap1	1.9528	rgb(222,124,125)
Irf4	Adap1	1.966	rgb(222,123,124)
Maf	Adap1	-1.7987	rgb(119,158,234)
Fosl2	Adap1	-1.847	rgb(117,156,235)
Irf4	Adarb1	1.9548	rgb(222,124,125)
Stat3	Adarb1	1.945	rgb(222,124,125)
Fosl2	Adarb1	1.978	rgb(222,122,123)
Maf	Adat2	-1.4476	rgb(138,169,231)
Hif1a	Adck5	1.5871	rgb(221,141,142)
Hif1a	Adcy3	1.2082	rgb(220,159,160)
Irf4	Adcy6	1.0446	rgb(220,167,168)
Batf	Adcy7	-1.3414	rgb(144,173,230)
Irf4	Adcy7	-1.6233	rgb(129,163,232)
Maf	Adcy7	-1.2756	rgb(148,175,229)
Rorc	Add1	-1.1182	rgb(156,180,228)
Batf	Adh1	1.1957	rgb(220,160,160)
Fosl2	Adh1	1.0681	rgb(220,166,166)
Irf4	Adh4	1.9336	rgb(222,125,126)
Stat3	Adh4	1.6959	rgb(222,136,137)
Rorc	Adh4	1.8231	rgb(222,130,131)
Fosl2	Adh4	1.88	rgb(222,127,128)
Irf4	Adh5	1.1953	rgb(220,160,160)
Batf	Adi1	-1.5876	rgb(131,165,232)
Maf	Adk	-1.9308	rgb(112,153,235)
Fosl2	Adk	-1.8303	rgb(118,157,234)
Batf	Adm	-1.7719	rgb(121,158,234)
Batf	Adora2a	1.3083	rgb(221,154,155)
Maf	Adora2a	-1.3644	rgb(143,172,230)
Fosl2	Adora2a	-1.5067	rgb(135,167,231)
Fosl2	Adora2b	1.1149	rgb(220,164,164)
Batf	Adpgk	-1.4824	rgb(137,168,231)
Irf4	Adss	1.6453	rgb(222,138,139)
Batf	Adssl1	1.6545	rgb(222,138,139)
Irf4	Aebp2	1.9555	rgb(222,124,125)
Fosl2	Aebp2	1.8407	rgb(222,129,130)
Hif1a	Aebp2	1.8479	rgb(222,129,130)
Batf	Aen	-1.695	rgb(125,161,233)
Fosl2	Aen	-1.8159	rgb(118,157,234)
Irf4	Aes	1.4384	rgb(221,148,149)
Batf	Aff3	1.9702	rgb(222,123,124)
Irf4	Aff3	1.9708	rgb(222,123,124)
Maf	Aff3	1.9088	rgb(222,126,127)
Rorc	Aff3	-1.2178	rgb(151,177,229)
Fosl2	Aff3	1.9766	rgb(222,123,124)
Hif1a	Afg3l2	1.835	rgb(222,129,130)
Fosl2	Agbl5	1.1451	rgb(220,162,163)
Hif1a	Agbl5	1.878	rgb(222,127,128)
Maf	Agfg1	-1.8135	rgb(119,157,234)
Fosl2	Agfg1	-1.8937	rgb(114,154,235)
Maf	Agl	-1.0198	rgb(162,183,227)
Hif1a	Agl	1.5761	rgb(221,142,142)
Batf	Agpat4	-1.9332	rgb(112,153,235)
Irf4	Agpat9	1.4644	rgb(221,147,148)
Rorc	Agpat9	-1.1451	rgb(155,179,228)
Fosl2	Agpat9	1.5942	rgb(221,141,142)
Batf	Ahcy	-1.7719	rgb(121,158,234)
Irf4	Ahi1	-1.9323	rgb(112,153,235)
Maf	Ahi1	-1.8898	rgb(114,155,235)
Batf	Ahnak	1.9627	rgb(222,123,124)
Irf4	Ahnak	1.9763	rgb(222,123,124)
Maf	Ahnak	-1.9795	rgb(110,152,236)
Stat3	Ahnak	1.8369	rgb(222,129,130)
Fosl2	Ahnak	-1.9755	rgb(110,152,236)
Hif1a	Ahnak	1.6812	rgb(222,137,137)
Batf	Ahr	1.7373	rgb(222,134,135)
Irf4	Ahr	1.8654	rgb(222,128,129)
Maf	Ahr	1.7816	rgb(222,132,133)
Stat3	Ahr	1.3645	rgb(221,152,152)
Irf4	Aig1	1.9325	rgb(222,125,126)
Maf	Aig1	-1.7905	rgb(120,158,234)
Stat3	Aig1	1.7471	rgb(222,133,134)
Batf	Aim1	1.953	rgb(222,124,125)
Irf4	Aim1	1.9336	rgb(222,125,126)
Stat3	Aim1	1.7871	rgb(222,132,132)
Fosl2	Aim1	1.7749	rgb(222,132,133)
Hif1a	Aim1	1.115	rgb(220,164,164)
Maf	Aim2	-1.3202	rgb(145,173,230)
Fosl2	Aim2	-1.1579	rgb(154,179,228)
Hif1a	Aimp2	1.755	rgb(222,133,134)
Irf4	Airn	-1.9137	rgb(113,154,235)
Batf	Ak3	-1.6855	rgb(125,161,233)
Hif1a	Ak4	1.81	rgb(222,130,131)
Fosl2	Akap1	-1.0638	rgb(159,182,227)
Batf	Akap12	1.0019	rgb(220,169,170)
Irf4	Akap12	1.1622	rgb(220,161,162)
Stat3	Akap12	1.0304	rgb(220,168,168)
Fosl2	Akap12	-1.1792	rgb(153,178,228)
Batf	Akap13	1.9725	rgb(222,123,124)
Rorc	Akap13	-1.8205	rgb(118,157,234)
Hif1a	Akap13	1.4109	rgb(221,150,150)
Fosl2	Akap8l	1.0731	rgb(220,166,166)
Maf	Akna	-1.9558	rgb(111,152,236)
Maf	Akr1b8	-1.3672	rgb(143,172,230)
Irf4	Akr1c18	-1.0639	rgb(159,182,227)
Etv6	Akt1s1	-1.8761	rgb(115,155,235)
Fosl2	Akt2	-1.319	rgb(145,173,230)
Irf4	Alcam	-1.9223	rgb(113,154,235)
Maf	Alcam	-1.3912	rgb(141,171,230)
Stat3	Alcam	-1.0616	rgb(159,182,227)
Rorc	Alcam	1.048	rgb(220,167,167)
Fosl2	Alcam	-1.7622	rgb(121,159,234)
Irf4	Aldh1l2	1.2364	rgb(220,158,159)
Stat3	Aldh1l2	1.2573	rgb(220,157,158)
Fosl2	Aldh1l2	1.0516	rgb(220,167,167)
Hif1a	Aldh1l2	-1.4296	rgb(139,170,231)
Etv6	Aldh1l2	-1.3102	rgb(146,174,229)
Irf4	Aldh3a2	1.2493	rgb(220,157,158)
Batf	Aldh7a1	1.0623	rgb(220,166,167)
Stat3	Aldh7a1	1.0997	rgb(220,164,165)
Stat3	Aldoa	1.7069	rgb(222,135,136)
Hif1a	Aldoa	1.9437	rgb(222,124,125)
Irf4	Aldoc	1.1337	rgb(220,163,163)
Fosl2	Aldoc	1.1169	rgb(220,164,164)
Nfe2l2	Aldoc	-1.5064	rgb(135,167,231)
Hif1a	Aldoc	1.7918	rgb(222,131,132)
Hif1a	Alg11	1.7819	rgb(222,132,133)
Fosl2	Alg8	-1.0133	rgb(162,184,227)
Hif1a	Alkbh2	1.4811	rgb(221,146,147)
Hif1a	Alkbh5	1.8616	rgb(222,128,129)
Irf4	Alpk2	1.997	rgb(222,122,123)
Maf	Alpk2	1.9685	rgb(222,123,124)
Stat3	Alpk2	1.992	rgb(222,122,123)
Rorc	Alpk2	-1.9507	rgb(111,153,236)
Hif1a	Alpk2	1.6252	rgb(221,139,140)
Etv6	Alpk2	-1.616	rgb(129,164,232)
Batf	Als2cl	1.6063	rgb(221,140,141)
Stat3	Als2cl	1.5323	rgb(221,144,145)
Fosl2	Amdhd2	1.9191	rgb(222,125,126)
Batf	Amica1	-1.7422	rgb(122,159,234)
Irf4	Amica1	-1.7369	rgb(123,160,234)
Maf	Amica1	-1.213	rgb(151,177,229)
Rorc	Amica1	-1.152	rgb(154,179,228)
Fosl2	Amica1	-1.6938	rgb(125,161,233)
Batf	Amigo2	-1.1037	rgb(157,181,227)
Batf	Ammecr1	-1.926	rgb(112,153,235)
Nfe2l2	Amn1	1.1659	rgb(220,161,162)
Fosl2	Ampd3	1.4908	rgb(221,146,146)
Batf	Amz1	1.1653	rgb(220,161,162)
Irf4	Amz1	1.0972	rgb(220,165,165)
Hif1a	Anapc11	1.5887	rgb(221,141,142)
Rorc	Anapc13	-1.4777	rgb(137,168,231)
Batf	Angptl2	-1.2695	rgb(148,175,229)
Irf4	Angptl2	-1.0427	rgb(160,183,227)
Rorc	Angptl2	-1.1337	rgb(155,180,228)
Fosl2	Angptl2	-1.741	rgb(122,159,234)
Irf4	Angptl4	-1.5028	rgb(135,167,231)
Batf	Angptl6	1.6379	rgb(222,139,140)
Irf4	Angptl6	1.841	rgb(222,129,130)
Fosl2	Angptl6	1.6922	rgb(222,136,137)
