TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Tsc22d1	F9	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Ybx2	Fermt2	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zbtb7b	Ppp3cc	0.057798	24.5	0	rgb(217,217,217)	1.4808	None
Zfp345	Lgr5	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp354c	Emp3	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp367	Tas1r3	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp385a	Serpinb5	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp39	Ano7	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp426	Trim24	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp444	Icam5	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp455	Insl3	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp511	Gucy1b3	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp513	BC016579	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp534	Acot5	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp534	Nebl	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp534	Snx19	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp558	Eps8	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp563	Gpr3	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp600	Ltbp1	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp692	Slc4a8	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp709	Pramel3	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp90	Sorl1	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp934	Spaca1	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Zfp937	Kis2	0.057798	24.5	0	rgb(217,217,217)	1.4808	2,2
Jun	Ryr2	-0.057779	27.39	-1.4E-01	rgb(187,199,222)	1.5387	2,2
Rest	Cyth3	-0.057723	30.785	-3.6E-02	rgb(209,212,218)	1.6067	None
Rest	Tsku	0.057723	30.785	0.034	rgb(217,210,211)	1.6067	None
Spib	Plekhf2	0.057723	30.785	0.034	rgb(217,210,211)	1.6067	None
Hlx	Vapb	0.057704	28.315	0.067	rgb(218,204,204)	1.5572	None
Zfp763	Sema4f	0.057686	26.885	0.134	rgb(218,191,192)	1.5285	2,2
Ppara	Adcy5	0.057649	28.84	0.091	rgb(218,200,200)	1.5677	None
Tulp2	Adcy4	0.057649	28.84	0.09	rgb(218,200,200)	1.5677	2,2
Nr2f1	A930011G23Rik	0.05763	26.355	0.103	rgb(218,197,198)	1.5179	2,2
Mitf	Numbl	-0.057611	29.925	-1.7E-01	rgb(179,194,224)	1.5894	None
Stat4	Heg1	-0.057593	30.78	-2.9E-02	rgb(211,213,218)	1.6066	None
Creb1	Sall4	0.057537	30.435	0.187	rgb(219,181,182)	1.5997	None
Hic1	Olfm2	0.057537	30.435	0.187	rgb(219,181,182)	1.5997	None
Pou6f1	Csf2	-0.057537	30.435	-1.9E-01	rgb(177,192,224)	1.5997	None
Ppara	Mmd	-0.057481	26.88	-1.3E-01	rgb(189,200,222)	1.5284	None
Zbtb17	Ddah1	-0.057481	26.88	-1.3E-01	rgb(189,200,222)	1.5284	2,2
Zfp511	Rraga	0.057481	26.88	0.132	rgb(218,192,192)	1.5284	2,2
Akna	Gm2762	0.057444	25.865	0.117	rgb(218,195,195)	1.5081	2,2
Gata2	Bbc3	-0.057444	25.865	-1.1E-01	rgb(192,202,221)	1.5081	None
Jun	Cadm4	0.057406	29.92	0.171	rgb(219,184,185)	1.5893	None
Zfp148	Dpy19l3	0.057406	29.92	0.169	rgb(219,185,185)	1.5893	None
