TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	0.80855	50.41	0.91	rgb(227, 43, 45)	2	2,2
Sp2	Brd3	0.80855	50.4	0.902	rgb(227, 45, 47)	1.9998	None
Irf7	Rtp4	0.80855	50.38	0.879	rgb(227, 49, 51)	1.9994	2,2
Irf1	Nlrc5	0.80855	50.36	0.855	rgb(226, 54, 55)	1.999	None
Srebf2	Dhcr24	0.80855	50.35	0.853	rgb(226, 54, 56)	1.9988	2,2
Irf7	Rsad2	0.80855	50.34	0.845	rgb(226, 56, 57)	1.9986	None
Srebf1	Fads2	0.80855	50.33	0.829	rgb(226, 59, 60)	1.9984	2,2
Rorc	C2cd4d	0.80855	50.32	0.818	rgb(226, 61, 62)	1.9982	None
Srf	Adarb1	0.80855	50.32	0.821	rgb(226, 60, 62)	1.9982	None
Crem	Vps37b	0.80855	50.31	0.807	rgb(226, 63, 64)	1.998	None
Irf9	Irf7	0.80855	50.31	0.806	rgb(226, 63, 65)	1.998	2,2
Mxi1	Cxcr4	0.80855	50.3	0.801	rgb(226, 64, 66)	1.9978	None
Hsf1	Smyd5	0.80855	50.28	0.784	rgb(226, 67, 69)	1.9974	None
Srf	Notch1	0.80855	50.28	0.78	rgb(226, 68, 70)	1.9974	None
Elf1	Pde7a	0.80855	50.27	0.768	rgb(225, 70, 72)	1.9972	None
Irf1	Erap1	0.80855	50.27	0.773	rgb(226, 69, 71)	1.9972	None
Nr4a1	Nr4a3	0.80855	50.27	0.774	rgb(226, 69, 71)	1.9972	2,2
Smad4	Itpr3	0.80855	50.27	0.773	rgb(225, 69, 71)	1.9972	None
Yy2	Pwwp2a	0.80855	50.27	0.77	rgb(225, 70, 71)	1.9972	None
Mxd3	Cdc25b	0.80855	50.27	0.772	rgb(225, 69, 71)	1.9972	2,2
Ahctf1	Zcchc2	0.80855	50.26	0.761	rgb(225, 72, 73)	1.997	None
Hsf1	Rwdd2a	-0.80855	50.26	-7.6E-01	rgb( 53,117,246)	1.997	None
Irf7	Xaf1	0.80855	50.26	0.759	rgb(225, 72, 74)	1.997	None
E2f4	Lrrc59	0.80855	50.25	0.75	rgb(225, 74, 75)	1.9968	None
Egr1	Egr2	0.80855	50.25	0.748	rgb(225, 74, 76)	1.9968	None
Irf1	Tbx21	0.80855	50.25	0.755	rgb(225, 73, 74)	1.9968	2,2
Irf7	I830012O16Rik	0.80855	50.25	0.75	rgb(225, 74, 75)	1.9968	2,2
Irf7	Mx1	0.80855	50.25	0.749	rgb(225, 74, 75)	1.9968	2,2
Zfp219	Stat4	0.80855	50.25	0.749	rgb(225, 74, 75)	1.9968	None
Cux1	Epb4.1l2	0.80855	50.24	0.739	rgb(225, 76, 77)	1.9966	2,2
Epas1	Gata3	0.80855	50.24	0.738	rgb(225, 76, 77)	1.9966	2,2
Rorc	Lingo4	0.80855	50.24	0.742	rgb(225, 75, 77)	1.9966	2,2
Zfp385a	Eng	0.80855	50.24	0.736	rgb(225, 76, 78)	1.9966	2,2
Atf5	Minpp1	-0.80855	50.23	-7.3E-01	rgb( 58,120,245)	1.9964	2,2
Cebpg	Pck2	0.80855	50.23	0.725	rgb(225, 78, 80)	1.9964	2,2
Sp110	Cdkn2d	0.80855	50.23	0.728	rgb(225, 78, 79)	1.9964	2,2
Rlf	3110057O12Rik	0.80855	50.23	0.728	rgb(225, 78, 79)	1.9964	2,2
Elf1	Arhgef6	0.80855	50.22	0.724	rgb(225, 79, 80)	1.9962	None
Foxs1	Mylk2	0.80855	50.22	0.721	rgb(225, 79, 81)	1.9962	2,2
Mybl1	Gen1	0.80855	50.22	0.721	rgb(225, 79, 81)	1.9962	2,2
Nfkb2	Psd	0.80855	50.22	0.724	rgb(225, 79, 80)	1.9962	None
Rest	Rbm15	0.80855	50.22	0.722	rgb(225, 79, 80)	1.9962	None
Ahrr	Cyp1b1	0.80855	50.21	0.713	rgb(225, 81, 82)	1.996	2,2
Egr2	Runx1	0.80855	50.21	0.706	rgb(225, 82, 84)	1.996	None
Elk3	Capg	0.80855	50.21	0.708	rgb(225, 82, 83)	1.996	2,2
Irf1	Gbp2	0.80855	50.21	0.706	rgb(225, 82, 84)	1.996	None
Irf5	Gna15	0.80855	50.21	0.713	rgb(225, 81, 82)	1.996	2,2
Irf5	St14	0.80855	50.21	0.706	rgb(225, 82, 83)	1.996	2,2
Mxi1	Ypel5	0.80855	50.21	0.708	rgb(225, 82, 83)	1.996	None
Nfatc1	Foxp4	0.80855	50.21	0.71	rgb(225, 81, 83)	1.996	None
Sp2	Zfp592	0.80855	50.21	0.713	rgb(225, 81, 82)	1.996	None
Zfp467	Wnt10a	0.80855	50.21	0.709	rgb(225, 82, 83)	1.996	None
Cebpg	Psph	0.80855	50.2	0.698	rgb(225, 84, 85)	1.9957	2,2
Elf1	Slain1	0.80855	50.2	0.7	rgb(225, 83, 85)	1.9957	None
Hsf1	Mtrf1	-0.80855	50.2	-7.0E-01	rgb( 65,124,244)	1.9957	None
Irf2	Wipf1	0.80855	50.2	0.695	rgb(225, 84, 86)	1.9957	None
Mxi1	Aen	-0.80855	50.2	-7.0E-01	rgb( 66,125,244)	1.9957	None
Sp2	Crtc1	0.80855	50.2	0.704	rgb(225, 83, 84)	1.9957	None
Srebf2	Kdm2b	0.80855	50.2	0.697	rgb(225, 84, 85)	1.9957	None
C030039L03Rik	Muc2	0.80855	50.2	0.701	rgb(225, 83, 85)	1.9957	2,2
Zfp367	Exo1	0.80855	50.2	0.698	rgb(225, 84, 85)	1.9957	2,2
Ahrr	Gpr15	0.80855	50.19	0.69	rgb(225, 85, 87)	1.9955	2,2
E2f4	Tnfrsf18	-0.80855	50.19	-6.9E-01	rgb( 67,126,243)	1.9955	None
Foxs1	Vax2	0.80855	50.19	0.695	rgb(225, 84, 86)	1.9955	2,2
Gata3	Nrgn	0.80855	50.19	0.686	rgb(225, 86, 87)	1.9955	2,2
Irf4	Abcb9	-0.80855	50.19	-6.9E-01	rgb( 68,126,243)	1.9955	None
Irf4	Abcd3	-0.80855	50.19	-6.9E-01	rgb( 67,126,243)	1.9955	None
Irf7	2010002M12Rik	0.80855	50.19	0.694	rgb(225, 85, 86)	1.9955	2,2
Irf7	Ifit3	0.80855	50.19	0.693	rgb(225, 85, 86)	1.9955	2,2
Jun	Kdelc2	-0.80855	50.19	-6.9E-01	rgb( 67,125,243)	1.9955	2,2
Nfic	Klf13	0.80855	50.19	0.686	rgb(225, 86, 87)	1.9955	None
Sp110	Bcl2a1b	0.80855	50.19	0.688	rgb(225, 86, 87)	1.9955	2,2
Zfp385a	Zmat3	0.80855	50.19	0.686	rgb(225, 86, 87)	1.9955	2,2
Zfp513	Vdac1	-0.80855	50.19	-6.9E-01	rgb( 68,126,243)	1.9955	2,2
E2f1	Wee1	0.80855	50.18	0.682	rgb(224, 87, 88)	1.9953	None
Ets1	Slc9a3r1	0.80855	50.18	0.684	rgb(225, 86, 88)	1.9953	None
Foxp3	Nt5e	0.80855	50.18	0.682	rgb(225, 87, 88)	1.9953	None
Irf1	Gbp5	0.80855	50.18	0.678	rgb(224, 88, 89)	1.9953	None
Irf1	Igtp	0.80855	50.18	0.679	rgb(224, 87, 89)	1.9953	2,2
Irf4	Atxn1	0.80855	50.18	0.675	rgb(224, 88, 89)	1.9953	None
Klf2	Gpr146	0.80855	50.18	0.684	rgb(225, 86, 88)	1.9953	None
Rreb1	Tacc2	0.80855	50.18	0.677	rgb(224, 88, 89)	1.9953	None
Runx2	Galnt3	0.80855	50.18	0.676	rgb(224, 88, 89)	1.9953	None
Rxra	Slain1	0.80855	50.18	0.681	rgb(224, 87, 88)	1.9953	None
Sp110	Ly6c1	0.80855	50.18	0.677	rgb(224, 88, 89)	1.9953	2,2
Sp2	Drosha	0.80855	50.18	0.682	rgb(225, 87, 88)	1.9953	None
Sp2	E2f7	0.80855	50.18	0.683	rgb(225, 87, 88)	1.9953	None
Vax2	Avpi1	0.80855	50.18	0.681	rgb(224, 87, 88)	1.9953	None
Zbtb17	Dnmt3a	0.80855	50.18	0.679	rgb(224, 87, 89)	1.9953	2,2
Epas1	Gsn	0.80855	50.17	0.669	rgb(224, 89, 91)	1.9951	2,2
Irf4	Crtam	-0.80855	50.17	-6.7E-01	rgb( 71,128,243)	1.9951	None
Irf4	Srgap3	-0.80855	50.17	-6.7E-01	rgb( 71,128,243)	1.9951	None
Irf7	Cxcl10	0.80855	50.17	0.675	rgb(224, 88, 89)	1.9951	None
Jun	Stat5b	0.80855	50.17	0.67	rgb(224, 89, 90)	1.9951	None
Prrx1	Cav1	0.80855	50.17	0.672	rgb(224, 89, 90)	1.9951	2,2
Rorc	Il1r1	0.80855	50.17	0.674	rgb(224, 88, 90)	1.9951	None
Srebf1	Sqle	0.80855	50.17	0.666	rgb(224, 90, 91)	1.9951	None
Tead1	Rragd	0.80855	50.17	0.672	rgb(224, 89, 90)	1.9951	2,2
Yy2	Smek1	0.80855	50.17	0.667	rgb(224, 90, 91)	1.9951	None
Zfp202	Fam89a	0.80855	50.17	0.675	rgb(224, 88, 89)	1.9951	None
Mxd3	Smtn	0.80855	50.17	0.666	rgb(224, 90, 91)	1.9951	2,2
Zfp629	Ttbk2	0.80855	50.17	0.675	rgb(224, 88, 89)	1.9951	2,2
Creb3l2	Gatsl2	0.80855	50.16	0.665	rgb(224, 90, 91)	1.9949	2,2
Crem	Galc	0.80855	50.16	0.665	rgb(224, 90, 91)	1.9949	None
E2f1	Exo1	0.80855	50.16	0.657	rgb(224, 91, 93)	1.9949	None
Irf1	Gbp10	0.80855	50.16	0.659	rgb(224, 91, 93)	1.9949	2,2
Irf1	Gbp4	0.80855	50.16	0.665	rgb(224, 90, 91)	1.9949	None
Irf1	Gbp7	0.80855	50.16	0.656	rgb(224, 92, 93)	1.9949	None
Irf1	Tgtp2	0.80855	50.16	0.663	rgb(224, 90, 92)	1.9949	None
Irf4	Gdpd5	-0.80855	50.16	-6.6E-01	rgb( 74,130,242)	1.9949	None
Irf7	Pydc4	0.80855	50.16	0.658	rgb(224, 91, 93)	1.9949	2,2
