TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Pgm2	0.85072	50.37	0.867	rgb(227, 51, 53)	2	None
Hif1a	Slc2a1	0.85072	50.34	0.844	rgb(226, 56, 57)	1.9994	2,2
Hif1a	Egln1	0.85072	50.32	0.816	rgb(226, 61, 63)	1.999	None
Zfp367	Dtl	0.85072	50.32	0.825	rgb(226, 59, 61)	1.999	2,2
Hif1a	Ppme1	0.85072	50.31	0.813	rgb(226, 62, 63)	1.9988	None
Hif1a	Mboat2	0.85072	50.3	0.8	rgb(226, 64, 66)	1.9986	2,2
Hif1a	P4hb	0.85072	50.3	0.801	rgb(226, 64, 66)	1.9986	2,2
Hif1a	Slc2a3	0.85072	50.3	0.798	rgb(226, 65, 66)	1.9986	2,2
Hif1a	3110057O12Rik	0.85072	50.29	0.788	rgb(226, 66, 68)	1.9984	2,2
Hif1a	Atp7b	0.85072	50.28	0.781	rgb(226, 68, 69)	1.9982	2,2
Hif1a	Bnip3	0.85072	50.28	0.78	rgb(226, 68, 70)	1.9982	None
Mxd3	Cdc25b	0.85072	50.28	0.776	rgb(226, 69, 70)	1.9982	2,2
Hif1a	H2-Ab1	0.85072	50.27	0.77	rgb(225, 70, 71)	1.998	2,2
Zfp329	Neat1	0.85072	50.27	0.772	rgb(225, 69, 71)	1.998	2,2
Hif1a	Aldoa	0.85072	50.26	0.762	rgb(225, 72, 73)	1.9978	2,2
Zbtb34	Pogz	0.85072	50.26	0.762	rgb(225, 72, 73)	1.9978	2,2
Zfp595	Pwwp2a	0.85072	50.26	0.756	rgb(225, 73, 74)	1.9978	2,2
Hif1a	Smtnl2	0.85072	50.23	0.727	rgb(225, 78, 80)	1.9972	2,2
Zbed3	Zkscan17	0.85072	50.23	0.733	rgb(225, 77, 78)	1.9972	2,2
Hif1a	2310022B05Rik	0.85072	50.22	0.72	rgb(225, 79, 81)	1.997	2,2
Gm14420	Cdkn2d	0.85072	50.22	0.723	rgb(225, 79, 80)	1.997	2,2
Hif1a	Ero1l	0.85072	50.21	0.711	rgb(225, 81, 83)	1.9968	None
E2f4	Mxd3	0.85072	50.2	0.699	rgb(225, 83, 85)	1.9966	None
Hif1a	Arrb1	0.85072	50.2	0.701	rgb(225, 83, 85)	1.9966	None
Hif1a	Fam71f2	0.85072	50.2	0.701	rgb(225, 83, 84)	1.9966	None
Zfp536	Mapk8ip1	0.85072	50.2	0.704	rgb(225, 83, 84)	1.9966	2,2
Hif1a	Aldoc	0.85072	50.19	0.689	rgb(225, 85, 87)	1.9964	2,2
Hif1a	Pfkp	0.85072	50.19	0.692	rgb(225, 85, 86)	1.9964	2,2
Zfp367	Exo1	0.85072	50.19	0.69	rgb(225, 85, 87)	1.9964	2,2
Zfp385a	Rnf169	0.85072	50.19	0.687	rgb(225, 86, 87)	1.9964	2,2
Zfp429	Megf8	-0.85072	50.19	-6.9E-01	rgb( 68,126,243)	1.9964	2,2
Hif1a	Pafah1b3	0.85072	50.18	0.68	rgb(224, 87, 89)	1.9962	2,2
Mycn	Fbxo18	-0.85072	50.18	-6.8E-01	rgb( 69,127,243)	1.9962	2,2
Atmin	Scyl2	0.85072	50.18	0.677	rgb(224, 88, 89)	1.9962	2,2
Zfp385a	Zfp365	0.85072	50.18	0.683	rgb(225, 86, 88)	1.9962	2,2
Zfp385a	Zmat3	0.85072	50.18	0.677	rgb(224, 88, 89)	1.9962	2,2
Batf	Hk1	0.85072	50.17	0.668	rgb(224, 89, 91)	1.9959	2,2
Hif1a	Fzd7	0.85072	50.17	0.668	rgb(224, 89, 91)	1.9959	2,2
Hif1a	Sertad1	0.85072	50.17	0.67	rgb(224, 89, 90)	1.9959	2,2
Satb1	Prickle1	-0.85072	50.17	-6.7E-01	rgb( 71,128,243)	1.9959	2,2
Thap3	Dpm3	0.85072	50.17	0.668	rgb(224, 89, 91)	1.9959	2,2
Zfp536	Lpin3	0.85072	50.17	0.671	rgb(224, 89, 90)	1.9959	2,2
Zfp831	Mllt3	0.85072	50.17	0.672	rgb(224, 89, 90)	1.9959	2,2
Hif1a	Jmjd6	0.85072	50.16	0.662	rgb(224, 91, 92)	1.9957	None
