TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Pgm2	0.73013	50.4	0.897	rgb(227, 46, 47)	2	None
Hif1a	Egln1	0.73013	50.39	0.889	rgb(227, 47, 49)	1.9998	None
Hif1a	Ero1l	0.73013	50.39	0.888	rgb(227, 47, 49)	1.9998	None
Hif1a	Bnip3	0.73013	50.35	0.848	rgb(226, 55, 57)	1.999	None
Hif1a	Jmjd6	0.73013	50.31	0.812	rgb(226, 62, 64)	1.9982	None
Sp2	Dkkl1	0.73013	50.31	0.811	rgb(226, 62, 64)	1.9982	None
Hif1a	Arrb1	0.73013	50.3	0.8	rgb(226, 64, 66)	1.998	None
Hif1a	Ppme1	0.73013	50.3	0.802	rgb(226, 64, 65)	1.998	None
Hif1a	Slc2a3	0.73013	50.29	0.789	rgb(226, 66, 68)	1.9978	2,2
Foxo1	Tbx6	0.73013	50.27	0.773	rgb(226, 69, 71)	1.9974	None
Hes1	Plxna1	0.73013	50.27	0.771	rgb(225, 70, 71)	1.9974	None
Hif1a	3110057O12Rik	0.73013	50.26	0.765	rgb(225, 71, 72)	1.9972	2,2
Hif1a	Hk1	0.73013	50.26	0.757	rgb(225, 72, 74)	1.9972	None
Zfp536	Tekt2	0.73013	50.26	0.757	rgb(225, 72, 74)	1.9972	2,2
Hif1a	2310022B05Rik	0.73013	50.25	0.748	rgb(225, 74, 76)	1.997	2,2
Hif1a	Mboat2	0.73013	50.25	0.752	rgb(225, 73, 75)	1.997	2,2
Cxxc5	Nod1	0.73013	50.25	0.746	rgb(225, 74, 76)	1.997	2,2
Stat3	Lif	0.73013	50.24	0.743	rgb(225, 75, 77)	1.9968	None
Zbed3	Zkscan17	0.73013	50.24	0.743	rgb(225, 75, 77)	1.9968	2,2
E2f4	Mxd3	0.73013	50.23	0.729	rgb(225, 78, 79)	1.9966	None
Hif1a	H2-Ab1	0.73013	50.23	0.729	rgb(225, 78, 79)	1.9966	2,2
Hif1a	Slc2a1	0.73013	50.23	0.726	rgb(225, 78, 80)	1.9966	2,2
Thra	Fam114a2	-0.73013	50.23	-7.3E-01	rgb( 59,121,245)	1.9966	None
Zbtb7b	Cln6	0.73013	50.23	0.73	rgb(225, 78, 79)	1.9966	None
Zfp318	Adora2b	-0.73013	50.23	-7.3E-01	rgb( 58,120,245)	1.9966	2,2
Hif1a	Narf	0.73013	50.22	0.72	rgb(225, 80, 81)	1.9964	None
Hif1a	Smtnl2	0.73013	50.22	0.719	rgb(225, 80, 81)	1.9964	2,2
Sall4	Foxp3	0.73013	50.22	0.722	rgb(225, 79, 81)	1.9964	None
E2f4	C2cd2l	0.73013	50.21	0.705	rgb(225, 82, 84)	1.9962	None
E2f4	Rfwd3	0.73013	50.21	0.71	rgb(225, 81, 83)	1.9962	None
Sp2	Nfil3	0.73013	50.21	0.715	rgb(225, 80, 82)	1.9962	None
Ankzf1	Rgs11	0.73013	50.21	0.706	rgb(225, 82, 84)	1.9962	2,2
Gabpa	Zfp568	0.73013	50.2	0.699	rgb(225, 83, 85)	1.996	None
Nr4a2	Itga4	0.73013	50.2	0.699	rgb(225, 83, 85)	1.996	None
Stat3	Sbno2	0.73013	50.2	0.7	rgb(225, 83, 85)	1.996	None
Zbtb7b	Pcmt1	-0.73013	50.2	-7.0E-01	rgb( 66,125,243)	1.996	None
Zfp629	Ttbk2	0.73013	50.2	0.703	rgb(225, 83, 84)	1.996	2,2
Foxq1	Cltb	-0.73013	50.19	-6.9E-01	rgb( 67,126,243)	1.9957	None
Hif1a	1190002N15Rik	0.73013	50.19	0.695	rgb(225, 84, 86)	1.9957	None
Hif1a	Fam71f2	0.73013	50.19	0.688	rgb(225, 86, 87)	1.9957	None
Myc	Icam5	0.73013	50.19	0.688	rgb(225, 86, 87)	1.9957	None
Prdm1	Mpzl3	0.73013	50.19	0.688	rgb(225, 86, 87)	1.9957	None
Zfp182	Cysltr1	0.73013	50.19	0.691	rgb(225, 85, 86)	1.9957	None
Ankzf1	3110057O12Rik	0.73013	50.19	0.686	rgb(225, 86, 87)	1.9957	2,2
Cebpb	Myd88	-0.73013	50.18	-6.8E-01	rgb( 69,127,243)	1.9955	None
E2f4	Dars2	0.73013	50.18	0.683	rgb(225, 87, 88)	1.9955	None
Klf5	Arid5a	0.73013	50.18	0.684	rgb(225, 86, 88)	1.9955	None
Klf5	Plxnb1	0.73013	50.18	0.678	rgb(224, 87, 89)	1.9955	None
Maff	Gja1	0.73013	50.18	0.683	rgb(225, 86, 88)	1.9955	None
Mycn	Ptp4a3	0.73013	50.18	0.679	rgb(224, 87, 89)	1.9955	None
Sox13	Capg	-0.73013	50.18	-6.8E-01	rgb( 70,127,243)	1.9955	2,2
Sp4	Vsig10	0.73013	50.18	0.679	rgb(224, 87, 89)	1.9955	None
Stat3	Chmp4b	0.73013	50.18	0.678	rgb(224, 88, 89)	1.9955	None
Zbtb3	Snapc1	0.73013	50.18	0.675	rgb(224, 88, 89)	1.9955	2,2
Mxd3	Cdc25b	0.73013	50.18	0.675	rgb(224, 88, 89)	1.9955	2,2
Zfp280b	Sytl3	-0.73013	50.18	-6.8E-01	rgb( 70,128,243)	1.9955	2,2
Zfp367	Dtl	0.73013	50.18	0.685	rgb(225, 86, 88)	1.9955	2,2
Zfp429	Megf8	-0.73013	50.18	-6.8E-01	rgb( 70,127,243)	1.9955	2,2
E2f1	Smpd4	0.73013	50.17	0.674	rgb(224, 88, 90)	1.9953	None
Gabpa	Polr3b	0.73013	50.17	0.67	rgb(224, 89, 90)	1.9953	None
Gtf2ird1	S100a4	0.73013	50.17	0.673	rgb(224, 88, 90)	1.9953	2,2
Hif1a	Unc13a	0.73013	50.17	0.672	rgb(224, 89, 90)	1.9953	2,2
Jund	Tspan3	0.73013	50.17	0.668	rgb(224, 89, 91)	1.9953	None
Six4	Gap43	0.73013	50.17	0.67	rgb(224, 89, 90)	1.9953	None
Smad3	Ctla2b	0.73013	50.17	0.673	rgb(224, 88, 90)	1.9953	None
Vdr	Cdk16	0.73013	50.17	0.675	rgb(224, 88, 89)	1.9953	None
Zbtb7b	Decr1	-0.73013	50.17	-6.7E-01	rgb( 72,129,242)	1.9953	None
Zfx	Ptpn11	0.73013	50.17	0.669	rgb(224, 89, 91)	1.9953	None
Zfp9	Fam114a2	0.73013	50.17	0.667	rgb(224, 90, 91)	1.9953	2,2
Zscan22	Zc3h7b	0.73013	50.17	0.667	rgb(224, 90, 91)	1.9953	2,2
Erg	Lime1	0.73013	50.16	0.664	rgb(224, 90, 91)	1.9951	None
Hif1a	Pafah1b3	0.73013	50.16	0.657	rgb(224, 91, 93)	1.9951	2,2
Hif1a	Ppp1r3b	0.73013	50.16	0.66	rgb(224, 91, 92)	1.9951	2,2
Stat3	Gbp2	0.73013	50.16	0.662	rgb(224, 91, 92)	1.9951	None
Trps1	Sirpa	-0.73013	50.16	-6.6E-01	rgb( 74,130,242)	1.9951	2,2
Zeb2	Crtam	0.73013	50.16	0.658	rgb(224, 91, 93)	1.9951	2,2
Zfp260	Bend3	-0.73013	50.16	-6.6E-01	rgb( 73,130,242)	1.9951	2,2
Zfp385a	Zfp365	0.73013	50.16	0.66	rgb(224, 91, 92)	1.9951	2,2
Zfp513	Zfp408	0.73013	50.16	0.659	rgb(224, 91, 93)	1.9951	2,2
Bcl6	Fam131b	0.73013	50.15	0.65	rgb(224, 93, 94)	1.9949	None
Hif1a	Aldoa	0.73013	50.15	0.652	rgb(224, 93, 94)	1.9949	2,2
Hif1a	Pygl	0.73013	50.15	0.645	rgb(224, 94, 95)	1.9949	2,2
Klf12	Slc41a3	0.73013	50.15	0.646	rgb(224, 94, 95)	1.9949	None
Nkx1-2	Per2	0.73013	50.15	0.654	rgb(224, 92, 93)	1.9949	None
Rreb1	Amigo3	0.73013	50.15	0.655	rgb(224, 92, 93)	1.9949	None
Rreb1	Mndal	0.73013	50.15	0.646	rgb(224, 94, 95)	1.9949	None
Sox5	Cacna2d1	0.73013	50.15	0.654	rgb(224, 92, 93)	1.9949	None
Stat3	Ppfibp1	0.73013	50.15	0.648	rgb(224, 93, 95)	1.9949	None
Zfp598	0610012G03Rik	-0.73013	50.15	-6.5E-01	rgb( 76,131,242)	1.9949	2,2
Zhx3	Slc35d1	0.73013	50.15	0.651	rgb(224, 93, 94)	1.9949	2,2
Gabpa	Zfp445	0.73013	50.14	0.643	rgb(224, 94, 95)	1.9947	None
Hif1a	Rab39	0.73013	50.14	0.64	rgb(224, 95, 96)	1.9947	None
Jund	Aqp4	0.73013	50.14	0.642	rgb(224, 94, 96)	1.9947	None
Sp3	Anln	0.73013	50.14	0.641	rgb(224, 95, 96)	1.9947	None
