TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Hhex	D830031N03Rik	0.44382	47.81	0.311	rgb(220,158,158)	1.9476	2,2
Hsf1	Il13	0.44382	47.81	0.315	rgb(220,157,158)	1.9476	2,2
Irf1	Kcnj13	0.44382	47.81	0.313	rgb(220,157,158)	1.9476	None
Irf2	Neu3	0.44382	47.81	0.306	rgb(220,159,159)	1.9476	None
Irf4	Xrcc5	-0.44382	47.81	-3.1E-01	rgb(150,176,229)	1.9476	None
Irf7	Fam174b	-0.44382	47.81	-3.1E-01	rgb(150,176,229)	1.9476	2,2
Irf7	Nts	0.44382	47.81	0.314	rgb(220,157,158)	1.9476	2,2
Klf3	B3galnt1	0.44382	47.81	0.307	rgb(220,158,159)	1.9476	2,2
Lhx2	Alpk2	0.44382	47.81	0.313	rgb(220,157,158)	1.9476	None
Maf	Rab39	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	None
Meis1	Ubtd1	0.44382	47.81	0.314	rgb(220,157,158)	1.9476	None
Meis2	Ccrn4l	-0.44382	47.81	-3.1E-01	rgb(150,176,229)	1.9476	2,2
Ncoa2	Dtx4	0.44382	47.81	0.312	rgb(220,157,158)	1.9476	2,2
Nfe2	Dhrs3	-0.44382	47.81	-3.1E-01	rgb(150,176,229)	1.9476	None
Nkx3-1	Herc4	0.44382	47.81	0.307	rgb(220,158,159)	1.9476	None
Nr2f1	Gsta3	0.44382	47.81	0.312	rgb(220,157,158)	1.9476	2,2
Nr2f1	Zfp280b	0.44382	47.81	0.308	rgb(220,158,159)	1.9476	2,2
Nr4a1	Uggt2	-0.44382	47.81	-3.1E-01	rgb(150,176,229)	1.9476	2,2
Nr4a2	Srpk2	0.44382	47.81	0.308	rgb(220,158,159)	1.9476	2,2
Nr4a3	Rab11fip1	0.44382	47.81	0.307	rgb(220,158,159)	1.9476	None
Osr2	Cmtm7	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Pou5f2	2610034B18Rik	0.44382	47.81	0.384	rgb(221,144,145)	1.9476	2,2
Prdm8	Tmem98	0.44382	47.81	0.313	rgb(220,157,158)	1.9476	2,2
Rag1	Gypc	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Rara	Haao	0.44382	47.81	0.309	rgb(220,158,159)	1.9476	None
Relb	Atp11a	0.44382	47.81	0.312	rgb(220,157,158)	1.9476	2,2
Relb	Rcn3	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Rest	S100a13	0.44382	47.81	0.313	rgb(220,157,158)	1.9476	None
Rora	Cd160	0.44382	47.81	0.312	rgb(220,157,158)	1.9476	2,2
Rxra	Bco2	0.44382	47.81	0.314	rgb(220,157,158)	1.9476	None
Satb1	Syn1	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	None
Sgsm2	Exoc4	0.44382	47.81	0.309	rgb(220,158,159)	1.9476	2,2
Sgsm2	Fcamr	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Skil	Pld2	0.44382	47.81	0.31	rgb(220,158,158)	1.9476	2,2
Sox13	Gtf2i	0.44382	47.81	0.312	rgb(220,157,158)	1.9476	2,2
Sox13	Ptp4a3	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Sp4	Ncoa1	0.44382	47.81	0.315	rgb(220,157,158)	1.9476	None
Sp4	Sesn3	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	None
Srebf1	Fads3	0.44382	47.81	0.313	rgb(220,157,158)	1.9476	2,2
St18	Sohlh1	0.44382	47.81	0.308	rgb(220,158,159)	1.9476	2,2
Stat3	Smtn	0.44382	47.81	0.308	rgb(220,158,159)	1.9476	None
Tal2	Fbn2	0.44382	47.81	0.308	rgb(220,158,159)	1.9476	2,2
Terf1	Pmm1	-0.44382	47.81	-3.5E-01	rgb(141,171,230)	1.9476	2,2
Twist1	Chst3	0.44382	47.81	0.315	rgb(220,157,158)	1.9476	2,2
Ybx2	Gm16287	0.44382	47.81	0.309	rgb(220,158,159)	1.9476	2,2
Ybx2	Sgcg	0.44382	47.81	0.311	rgb(220,158,158)	1.9476	2,2
Zfhx3	Lingo1	0.44382	47.81	0.308	rgb(220,158,159)	1.9476	2,2
Zfp184	Specc1	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Zfp219	St14	-0.44382	47.81	-3.1E-01	rgb(150,176,229)	1.9476	2,2
Zfp296	Pdlim4	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Zfp365	Plk2	0.44382	47.81	0.309	rgb(220,158,159)	1.9476	2,2
Zfp418	Cox4i2	0.44382	47.81	0.312	rgb(220,157,158)	1.9476	2,2
Zfp612	Ldlrap1	-0.44382	47.81	-3.1E-01	rgb(149,176,229)	1.9476	2,2
Zfp651	Cspg5	0.44382	47.81	0.31	rgb(220,158,158)	1.9476	2,2
Zfp652	Kdm2b	0.44382	47.81	0.311	rgb(220,158,158)	1.9476	None
