TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
E2f1	Dtl	0.99985	1	0.106	rgb(218,197,197)	2	None
Irf1	Gbp4	0.99985	1	0.268	rgb(220,166,166)	2	None
Irf1	Gbp6	0.99985	1	0.378	rgb(221,145,146)	2	None
Irf1	Tgtp2	0.99985	1	0.236	rgb(220,172,172)	2	None
Irf5	Lyn	0.99985	1	0.565	rgb(223,109,110)	2	None
Rest	Rbm15	0.99985	1	0.662	rgb(224, 91, 92)	2	None
Stat1	Gbp4	0.99985	1	0.36	rgb(221,148,149)	2	None
Stat1	Nlrc5	-0.99985	1	-4.4E-02	rgb(207,211,219)	2	None
Ahr	Dkkl1	0.99305	0.99	0.097	rgb(218,199,199)	1.98	None
Ar	Zfp831	0.99305	0.99	0.134	rgb(218,191,192)	1.98	None
Atf2	Egr4	0.99305	0.99	0.327	rgb(221,155,155)	1.98	None
Atf3	Abi3	-0.99305	0.99	-1.8E-02	rgb(213,215,218)	1.98	None
Atf3	Ahr	-0.99305	0.99	-3.7E-01	rgb(137,168,231)	1.98	None
Atf3	Chac1	-0.99305	0.99	-6.5E-02	rgb(203,208,219)	1.98	None
Atf3	Myo1e	0.99305	0.99	0.136	rgb(218,191,191)	1.98	None
Atf3	Trib3	0.99305	0.99	0.062	rgb(218,205,205)	1.98	None
Atf3	Vldlr	0.99305	0.99	0.465	rgb(222,128,129)	1.98	None
Atf5	Slc3a2	0.99305	0.99	0.296	rgb(220,160,161)	1.98	None
Bach1	Amica1	0.99305	0.99	0.146	rgb(219,189,189)	1.98	None
Batf	Ahr	0.99305	0.99	0.19	rgb(219,181,181)	1.98	None
Batf	Bmyc	-0.99305	0.99	-4.5E-01	rgb(119,158,234)	1.98	None
Batf	Calhm2	-0.99305	0.99	-6.8E-02	rgb(202,208,220)	1.98	None
Batf	Ccr7	-0.99305	0.99	-2.2E-01	rgb(170,189,225)	1.98	None
Batf	Col18a1	0.99305	0.99	0.255	rgb(220,168,169)	1.98	None
Batf	Ctss	-0.99305	0.99	-4.1E-01	rgb(127,162,233)	1.98	None
Batf	Cxcl3	0.99305	0.99	0.332	rgb(221,154,154)	1.98	None
Batf	Endod1	-0.99305	0.99	-1.6E-01	rgb(181,195,223)	1.98	None
Batf	Gbp5	-0.99305	0.99	-3.2E-01	rgb(148,175,229)	1.98	None
Batf	Igf2r	-0.99305	0.99	-2.9E-01	rgb(154,179,228)	1.98	None
Batf	Itga3	0.99305	0.99	0.174	rgb(219,184,184)	1.98	None
Batf	Kcnk10	0.99305	0.99	0.205	rgb(219,178,178)	1.98	None
Batf	Myo1h	0.99305	0.99	0.187	rgb(219,181,182)	1.98	None
Batf	Slamf6	0.99305	0.99	0.026	rgb(217,212,212)	1.98	None
Batf	Slamf9	-0.99305	0.99	-5.5E-01	rgb( 98,145,238)	1.98	None
Batf	Sspo	-0.99305	0.99	-2.9E-01	rgb(154,179,228)	1.98	None
Batf	St3gal1	0.99305	0.99	0.264	rgb(220,167,167)	1.98	None
Batf	Tal2	-0.99305	0.99	-3.8E-01	rgb(136,167,231)	1.98	None
Batf	Tmem19	-0.99305	0.99	-4.5E-01	rgb(119,157,234)	1.98	None
Batf	Tspan2	-0.99305	0.99	-3.8E-01	rgb(134,167,231)	1.98	None
Batf	Wnt10a	-0.99305	0.99	-9.4E-02	rgb(197,205,221)	1.98	None
Batf	Zfp467	-0.99305	0.99	-2.4E-01	rgb(164,185,226)	1.98	None
Bcl6	Ddx11	0.99305	0.99	0.276	rgb(220,164,165)	1.98	None
Bcl6	Tmem176a	0.99305	0.99	0.199	rgb(219,179,179)	1.98	None
Bcl6	Tmem176b	0.99305	0.99	0.221	rgb(219,175,175)	1.98	None
Bcl6	Zfp334	-0.99305	0.99	-2.5E-01	rgb(163,184,226)	1.98	None
Bhlhe40	Ripk3	0.99305	0.99	0.333	rgb(221,153,154)	1.98	None
Cebpb	Angptl6	0.99305	0.99	0.22	rgb(219,175,175)	1.98	None
Cebpb	Trib3	0.99305	0.99	0.082	rgb(218,201,202)	1.98	None
Cebpg	Cnrip1	-0.99305	0.99	-1.6E-02	rgb(214,215,218)	1.98	None
Cebpg	Ddit3	0.99305	0.99	0.126	rgb(218,193,193)	1.98	None
Creb3l2	Lpin2	-0.99305	0.99	-4.0E-01	rgb(131,165,232)	1.98	None
Crem	Hif1a	0.99305	0.99	0.267	rgb(220,166,167)	1.98	None
Crem	Pde4d	0.99305	0.99	0.36	rgb(221,148,149)	1.98	None
E2f1	Apitd1	0.99305	0.99	0.239	rgb(220,171,172)	1.98	None
E2f1	Exo1	0.99305	0.99	0.181	rgb(219,182,183)	1.98	None
E2f1	Hpcal4	-0.99305	0.99	-3.1E-02	rgb(210,213,218)	1.98	None
E2f1	Pank1	0.99305	0.99	0.363	rgb(221,148,148)	1.98	None
E2f1	Rpa2	0.99305	0.99	0.074	rgb(218,203,203)	1.98	None
E2f1	Wdr76	-0.99305	0.99	-7.1E-02	rgb(202,208,220)	1.98	None
E2f4	Dkkl1	-0.99305	0.99	-4.6E-01	rgb(118,157,234)	1.98	None
Ebf1	Arhgdig	0.99305	0.99	0.839	rgb(226, 57, 58)	1.98	None
Egr1	Dusp2	0.99305	0.99	0.345	rgb(221,151,152)	1.98	None
Egr1	Egr2	0.99305	0.99	0.389	rgb(221,143,144)	1.98	None
Egr1	Egr3	0.99305	0.99	0.31	rgb(220,158,158)	1.98	None
Egr1	Egr4	0.99305	0.99	0.344	rgb(221,151,152)	1.98	None
Egr1	Fzd3	0.99305	0.99	0.336	rgb(221,153,153)	1.98	None
Egr1	Nr4a1	0.99305	0.99	0.165	rgb(219,185,186)	1.98	None
Egr2	Tnf	0.99305	0.99	0.402	rgb(221,140,141)	1.98	None
Egr3	Nr4a1	0.99305	0.99	0.115	rgb(218,195,195)	1.98	None
Egr4	Egr3	-0.99305	0.99	-4.0E-04	rgb(217,217,217)	1.98	None
Egr4	Fam20c	0.99305	0.99	0.515	rgb(223,119,120)	1.98	None
Egr4	Nrn1	0.99305	0.99	0.041	rgb(217,209,209)	1.98	None
Egr4	Ssbp4	0.99305	0.99	0.107	rgb(218,197,197)	1.98	None
Elf1	Mtx3	-0.99305	0.99	-2.0E-01	rgb(174,191,224)	1.98	None
