TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Itgb7	-0.99463	0.99	-3.7E-02	rgb(209,212,218)	1.98	None
Irf1	Lgals3bp	-0.99463	0.99	-1.4E-02	rgb(214,215,218)	1.98	None
Irf1	Nlrc5	0.99463	0.99	0.405	rgb(221,140,141)	1.98	2,2
Irf1	Parp9	-0.99463	0.99	-7.7E-02	rgb(200,207,220)	1.98	None
Irf1	Psme1	0.99463	0.99	0.357	rgb(221,149,150)	1.98	None
Irf1	Tapbp	0.99463	0.99	0.239	rgb(220,171,172)	1.98	None
Irf1	Tapbpl	0.99463	0.99	0.116	rgb(218,195,195)	1.98	None
Irf1	Tbkbp1	0.99463	0.99	0.326	rgb(221,155,155)	1.98	None
Irf1	Zbp1	0.99463	0.99	0.136	rgb(218,191,191)	1.98	None
Irf4	Atp8b4	-0.99463	0.99	-4.3E-01	rgb(124,161,233)	1.98	None
Irf4	Ikzf2	-0.99463	0.99	-2.8E-02	rgb(211,213,218)	1.98	None
Irf4	Lrrn3	-0.99463	0.99	-3.0E-01	rgb(152,177,228)	1.98	None
Irf4	Ptk2	-0.99463	0.99	-3.3E-01	rgb(145,173,230)	1.98	None
Irf4	Trpm1	-0.99463	0.99	-5.2E-01	rgb(104,149,237)	1.98	None
Irf7	Ccrl2	0.99463	0.99	0.313	rgb(220,157,158)	1.98	None
Irf7	Cmpk2	0.99463	0.99	0.138	rgb(219,191,191)	1.98	None
Irf7	Ddx60	0.99463	0.99	0.167	rgb(219,185,185)	1.98	None
Irf7	Dtx3l	-0.99463	0.99	-5.1E-02	rgb(206,210,219)	1.98	None
Irf7	Gbp10	0.99463	0.99	0.269	rgb(220,166,166)	1.98	None
Irf7	Gbp6	0.99463	0.99	0.248	rgb(220,170,170)	1.98	None
Irf7	Gbp9	-0.99463	0.99	-1.0E-02	rgb(215,216,217)	1.98	None
Irf7	Herc6	0.99463	0.99	0.174	rgb(219,184,184)	1.98	None
Irf7	Ifit1	0.99463	0.99	0.313	rgb(220,157,158)	1.98	None
Irf7	Mx1	0.99463	0.99	0.081	rgb(218,202,202)	1.98	None
Irf7	Mx2	0.99463	0.99	0.121	rgb(218,194,194)	1.98	None
Irf7	Oas1b	0.99463	0.99	0.176	rgb(219,183,184)	1.98	None
Irf7	Oasl2	0.99463	0.99	0.345	rgb(221,151,152)	1.98	None
Irf7	Parp9	0.99463	0.99	0.141	rgb(219,190,190)	1.98	None
Irf7	Rsad2	0.99463	0.99	0.448	rgb(222,131,132)	1.98	None
Irf7	Rtp4	0.99463	0.99	0.496	rgb(222,122,123)	1.98	None
Irf7	Samd9l	-0.99463	0.99	-9.1E-03	rgb(215,216,217)	1.98	None
Irf7	Stat2	-0.99463	0.99	-7.2E-02	rgb(201,208,220)	1.98	None
Irf7	Tapbp	0.99463	0.99	0.142	rgb(219,190,190)	1.98	None
Irf7	Xaf1	0.99463	0.99	0.203	rgb(219,178,179)	1.98	None
Irf7	Zbp1	0.99463	0.99	0.098	rgb(218,198,199)	1.98	None
Irf8	Erap1	0.99463	0.99	0.181	rgb(219,183,183)	1.98	None
Irf8	Gbp10	0.99463	0.99	0.16	rgb(219,187,187)	1.98	None
Irf8	Gbp2	0.99463	0.99	0.126	rgb(218,193,193)	1.98	None
Irf8	Icam1	0.99463	0.99	0.171	rgb(219,184,185)	1.98	None
Irf8	Igtp	-0.99463	0.99	-2.2E-02	rgb(212,214,218)	1.98	None
Irf8	Mllt6	0.99463	0.99	0.266	rgb(220,166,167)	1.98	None
Irf8	Tbkbp1	0.99463	0.99	0.246	rgb(220,170,170)	1.98	None
Irf8	Tbx21	0.99463	0.99	0.196	rgb(219,179,180)	1.98	2,2
Irf9	Cmpk2	0.99463	0.99	0.017	rgb(217,214,214)	1.98	None
Irf9	Dtx3l	-0.99463	0.99	-1.1E-01	rgb(192,202,221)	1.98	None
Irf9	Gbp10	-0.99463	0.99	-2.1E-01	rgb(172,189,225)	1.98	None
Irf9	Gbp6	-0.99463	0.99	-5.2E-02	rgb(206,210,219)	1.98	None
Irf9	Ifi27l2a	-0.99463	0.99	-3.4E-01	rgb(144,172,230)	1.98	None
Irf9	Ifit1	-0.99463	0.99	-3.2E-02	rgb(210,213,218)	1.98	None
Irf9	Igtp	-0.99463	0.99	-3.3E-02	rgb(210,213,218)	1.98	None
Irf9	Irf7	0.99463	0.99	0.214	rgb(219,176,176)	1.98	None
Irf9	Mx1	-0.99463	0.99	-6.7E-02	rgb(202,208,220)	1.98	None
Irf9	Mx2	-0.99463	0.99	-5.1E-02	rgb(206,210,219)	1.98	None
Irf9	Rsad2	0.99463	0.99	0.072	rgb(218,203,203)	1.98	None
Irf9	Rtp4	0.99463	0.99	0.119	rgb(218,194,194)	1.98	None
Irf9	Stat2	0.99463	0.99	0.096	rgb(218,199,199)	1.98	None
Irf9	Xaf1	-0.99463	0.99	-2.7E-01	rgb(158,181,227)	1.98	None
