Regulator	Target	Weight	stroke
Nfe2l2	1700084j12rik	0.33782	rgb(219,185,185)
Hif1a	1700109h08rik	0.32724	rgb(219,186,186)
Nfe2l2	1700109h08rik	0.3367	rgb(219,185,185)
Prkrir	1700109h08rik	0.31946	rgb(219,186,187)
Atf6	1700123o20rik	0.32881	rgb(219,186,186)
Egr2	1700123o20rik	-0.32908	rgb(181,195,223)
Ddit3	1810009a15rik	-0.32611	rgb(182,195,223)
Ikzf3	1810009a15rik	-0.34189	rgb(180,194,223)
Tsc22d3	1810009a15rik	-1.3897	rgb( 66,125,243)
Bcl11b	1810014b01rik	0.32513	rgb(219,186,186)
Crem	1810014b01rik	0.32714	rgb(219,186,186)
Ddit3	1810014b01rik	0.32372	rgb(219,186,186)
Zfp36l2	1810014b01rik	0.34335	rgb(219,184,185)
Egr2	1810022k09rik	-0.4108	rgb(172,190,225)
Atf6	1810026j23rik	0.34089	rgb(219,184,185)
Bcl11b	1810026j23rik	-0.32753	rgb(181,195,223)
Smarca4	1810030o07rik	0.3952	rgb(219,179,180)
Sp4	1810032o08rik	0.49723	rgb(220,170,170)
Zeb1	1810032o08rik	-0.70005	rgb(141,171,230)
Ddit3	1810037i17rik	-0.33991	rgb(180,195,223)
Etv6	1810037i17rik	0.54463	rgb(220,165,166)
Hif1a	1810037i17rik	0.33905	rgb(219,185,185)
Irf8	1810037i17rik	0.58337	rgb(220,161,162)
Ddit3	1810043h04rik	-0.34228	rgb(180,194,224)
Egr2	1810043h04rik	0.90073	rgb(222,131,132)
Ikzf3	1810043h04rik	-0.34398	rgb(180,194,224)
Ikzf4	1810043h04rik	0.70029	rgb(221,150,151)
Satb1	1810043h04rik	-0.33552	rgb(181,195,223)
Zfp36l2	1810043h04rik	-0.3209	rgb(182,196,223)
Atf6	1810058i24rik	0.32194	rgb(219,186,187)
Ikzf3	1810058i24rik	-0.33077	rgb(181,195,223)
Maf	1810058i24rik	-0.32752	rgb(181,195,223)
Stat3	2010016i18rik	0.33283	rgb(219,185,186)
Atf6	2010107e04rik	0.34126	rgb(219,184,185)
Smarca4	2010107e04rik	0.48996	rgb(220,170,171)
Zeb1	2010107e04rik	0.61973	rgb(220,158,158)
Batf	2010111i01rik	-0.33167	rgb(181,195,223)
Prkrir	2010111i01rik	0.32699	rgb(219,186,186)
Tsc22d3	2010111i01rik	-0.75237	rgb(135,167,231)
Atf6	2010204k13rik	0.32872	rgb(219,186,186)
Hif1a	2010204k13rik	0.3156	rgb(219,187,187)
Etv6	2010320m18rik	-0.33608	rgb(181,195,223)
Id2	2210013o21rik	0.34907	rgb(219,184,184)
Etv6	2210016f16rik	-0.3907	rgb(175,191,224)
