TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Epas1	Egln1	0.99987	1	0.312	rgb(220,157,158)	2	None
Epas1	Ero1l	0.99987	1	0.132	rgb(218,192,192)	2	None
Hif1a	2310022B05Rik	0.99987	1	0.517	rgb(223,118,119)	2	None
Hif1a	Egln1	0.99987	1	0.364	rgb(221,148,148)	2	None
Hif1a	Ero1l	0.99987	1	0.483	rgb(222,125,126)	2	None
Hif1a	P4hb	0.99987	1	0.491	rgb(222,123,124)	2	None
Tbx21	Tbkbp1	0.99987	1	0.763	rgb(225, 71, 73)	2	2,2
Bcl6b	Il10ra	0.99743	0.99	0.131	rgb(218,192,192)	1.98	None
Cdc5l	Chst15	0.99743	0.99	0.294	rgb(220,161,161)	1.98	None
Dmrt1	Ikzf3	0.99743	0.99	0.163	rgb(219,186,186)	1.98	None
Egr4	Adam9	0.99743	0.99	0.37	rgb(221,146,147)	1.98	None
Epas1	Agl	0.99743	0.99	0.208	rgb(219,177,178)	1.98	None
Epas1	Arrb1	0.99743	0.99	0.396	rgb(221,141,142)	1.98	None
Epas1	Bcar1	0.99743	0.99	0.45	rgb(222,131,132)	1.98	None
Epas1	Bnip3	0.99743	0.99	0.217	rgb(219,176,176)	1.98	None
Epas1	Hk1	0.99743	0.99	0.416	rgb(222,137,138)	1.98	2,2
Epas1	Mllt6	0.99743	0.99	0.452	rgb(222,131,132)	1.98	None
Epas1	Slc2a1	0.99743	0.99	0.286	rgb(220,162,163)	1.98	None
Hif1a	Agl	0.99743	0.99	0.111	rgb(218,196,196)	1.98	None
Hif1a	Arrb1	0.99743	0.99	0.004	rgb(217,216,216)	1.98	None
Hif1a	Bcar1	0.99743	0.99	0.233	rgb(220,172,173)	1.98	None
Hif1a	Bnip3	0.99743	0.99	0.252	rgb(220,169,169)	1.98	None
Hif1a	Fzd7	0.99743	0.99	0.166	rgb(219,185,186)	1.98	None
Hif1a	Galk1	0.99743	0.99	0.13	rgb(218,192,192)	1.98	None
Hif1a	H2-Ab1	0.99743	0.99	0.101	rgb(218,198,198)	1.98	None
Hif1a	Muc2	0.99743	0.99	0.188	rgb(219,181,181)	1.98	None
Hif1a	Nefh	0.99743	0.99	0.333	rgb(221,153,154)	1.98	None
Hif1a	P4ha2	0.99743	0.99	0.245	rgb(220,170,171)	1.98	None
Hif1a	Ppme1	0.99743	0.99	0.076	rgb(218,202,203)	1.98	None
Hif1a	Rab33a	0.99743	0.99	0.438	rgb(222,133,134)	1.98	None
Hif1a	Slc2a1	0.99743	0.99	0.153	rgb(219,188,188)	1.98	None
Hif1a	Slc2a3	0.99743	0.99	0.297	rgb(220,160,161)	1.98	None
Hif1a	Smtnl2	0.99743	0.99	0.103	rgb(218,197,197)	1.98	None
Irf2	Tapbp	0.99743	0.99	0.28	rgb(220,163,164)	1.98	None
Irf2	Trim12c	0.99743	0.99	0.054	rgb(218,207,207)	1.98	None
Irf7	Cmpk2	0.99743	0.99	0.302	rgb(220,159,160)	1.98	None
Irf7	Gbp6	0.99743	0.99	0.386	rgb(221,143,144)	1.98	None
Irf7	Ifih1	0.99743	0.99	0.284	rgb(220,163,163)	1.98	None
Irf7	Tapbp	-0.99743	0.99	-7.5E-03	rgb(215,216,217)	1.98	None
Irf9	Dtx3l	0.99743	0.99	0.14	rgb(219,190,191)	1.98	None
Irf9	Gbp10	0.99743	0.99	0.25	rgb(220,169,170)	1.98	None
Irf9	Gbp4	0.99743	0.99	0.234	rgb(220,172,173)	1.98	None
Irf9	Gbp6	0.99743	0.99	0.276	rgb(220,164,165)	1.98	None
Irf9	Gbp9	0.99743	0.99	0.132	rgb(218,192,192)	1.98	None
Irf9	Igtp	0.99743	0.99	0.422	rgb(222,136,137)	1.98	None
Irf9	Lgals3bp	0.99743	0.99	0.185	rgb(219,182,182)	1.98	None
Irf9	Parp9	0.99743	0.99	0.184	rgb(219,182,182)	1.98	None
Irf9	Rtp4	0.99743	0.99	0.344	rgb(221,151,152)	1.98	None
Irf9	Stat2	-0.99743	0.99	-1.3E-03	rgb(217,217,217)	1.98	None
Irf9	Tapbp	0.99743	0.99	0.218	rgb(219,175,176)	1.98	None
Myc	Nefh	0.99743	0.99	0.402	rgb(221,140,141)	1.98	None
Nfil3	Rora	0.99743	0.99	0.366	rgb(221,147,148)	1.98	None
Nr3c1	Ptk7	0.99743	0.99	0.598	rgb(224,103,104)	1.98	None
Rara	Prnp	-0.99743	0.99	-6.0E-03	rgb(216,216,217)	1.98	None
Rel	Ccl20	0.99743	0.99	0.288	rgb(220,162,163)	1.98	None
Rfx7	Ccdc134	0.99743	0.99	0.393	rgb(221,142,143)	1.98	None
Rreb1	Susd3	0.99743	0.99	0.208	rgb(219,177,178)	1.98	None
Spib	Notch2	-0.99743	0.99	-8.2E-02	rgb(199,206,220)	1.98	None
Stat1	Stat2	0.99743	0.99	0.012	rgb(217,215,215)	1.98	None
Tef	Cdkn2d	0.99743	0.99	0.11	rgb(218,196,196)	1.98	None
Tef	Peli2	0.99743	0.99	0.137	rgb(219,191,191)	1.98	None
Thra	Inpp5b	0.99743	0.99	0.268	rgb(220,166,166)	1.98	None
Trp53	Gtse1	0.99743	0.99	0.318	rgb(220,156,157)	1.98	None
Trp53	Marcks	0.99743	0.99	0.12	rgb(218,194,194)	1.98	None
Trp73	Abhd4	0.99743	0.99	0.277	rgb(220,164,165)	1.98	None
Trp73	Psrc1	0.99743	0.99	0.183	rgb(219,182,182)	1.98	None
Usf2	Galnt12	0.99743	0.99	0.074	rgb(218,203,203)	1.98	None
Vdr	Ndrg2	0.99743	0.99	0.071	rgb(218,204,204)	1.98	None
Zfhx3	Ptgfrn	0.99743	0.99	0.346	rgb(221,151,152)	1.98	None
Zfhx3	Rad52	0.99743	0.99	0.1	rgb(218,198,198)	1.98	None
Zfp148	Ecm1	0.99743	0.99	0.262	rgb(220,167,168)	1.98	None
Ahrr	Cyp1b1	0.99743	0.99	0.641	rgb(224, 95, 96)	1.98	2,2
Arrb1	Bcar1	0.99743	0.99	0.04	rgb(217,209,209)	1.98	2,2
Arrb1	Bnip3	0.99743	0.99	0.074	rgb(218,203,203)	1.98	2,2
Arrb1	Egln1	0.99743	0.99	0.408	rgb(221,139,140)	1.98	2,2
Arrb1	Mboat2	0.99743	0.99	0.262	rgb(220,167,168)	1.98	2,2
Arrb1	Pgm2	0.99743	0.99	0.131	rgb(218,192,192)	1.98	2,2
Batf	Larp1b	0.99743	0.99	0.331	rgb(221,154,154)	1.98	2,2
Casz1	Sytl3	0.99743	0.99	0.302	rgb(220,159,160)	1.98	2,2
Eno1	Higd1a	0.99743	0.99	0.433	rgb(222,134,135)	1.98	2,2
Gm13212	Bcl2a1b	0.99743	0.99	0.178	rgb(219,183,183)	1.98	2,2
Gm13212	Cdkn2d	0.99743	0.99	0.024	rgb(217,212,212)	1.98	2,2
Gm13251	Bcl2a1b	0.99743	0.99	0.033	rgb(217,211,211)	1.98	2,2
Gm13251	Cdkn2d	0.99743	0.99	0.099	rgb(218,198,198)	1.98	2,2
Gm14325	Cdkn2d	0.99743	0.99	0.102	rgb(218,197,198)	1.98	2,2
Gm14420	Bcl2a1b	0.99743	0.99	0.035	rgb(217,210,210)	1.98	2,2
Gm14420	Cdkn2d	0.99743	0.99	0.164	rgb(219,186,186)	1.98	2,2
Gtf2a1	Nucks1	0.99743	0.99	0.509	rgb(223,120,121)	1.98	2,2
Hells	Dtl	0.99743	0.99	0.212	rgb(219,176,177)	1.98	2,2
Kdm5d	Ppic	-0.99743	0.99	-3.4E-01	rgb(142,172,230)	1.98	2,2
Nfkbib	Nfkb2	0.99743	0.99	0.635	rgb(224, 96, 97)	1.98	2,2
Nr4a3	Nr4a1	0.99743	0.99	0.062	rgb(218,205,205)	1.98	2,2
Nupr1	Aldh1l2	0.99743	0.99	0.282	rgb(220,163,164)	1.98	2,2
Nupr1	Eif4ebp1	0.99743	0.99	0.234	rgb(220,172,173)	1.98	2,2
Nupr1	Psph	0.99743	0.99	0.202	rgb(219,179,179)	1.98	2,2
Nupr1	Slc6a9	0.99743	0.99	0.435	rgb(222,134,135)	1.98	2,2
Nupr1	Slc7a3	0.99743	0.99	0.386	rgb(221,143,144)	1.98	2,2
