TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Tbx21	0.99991	1	0.528	rgb(223,116,117)	2	2,2
Irf1	Tgtp2	0.99991	1	0.362	rgb(221,148,149)	2	None
Maf	Aqp3	0.99991	1	0.187	rgb(219,181,182)	2	None
Nfkb2	Psd	0.99991	1	0.297	rgb(220,160,161)	2	None
Rest	Rbm15	0.99991	1	0.658	rgb(224, 91, 93)	2	None
Ahrr	Cyp1b1	0.99413	0.99	0.506	rgb(223,120,121)	1.98	2,2
Ar	Zfp831	0.99413	0.99	0.081	rgb(218,202,202)	1.98	None
Atf3	Chac1	0.99413	0.99	0.03	rgb(217,211,211)	1.98	None
Atf3	Gpt2	0.99413	0.99	0.042	rgb(217,209,209)	1.98	None
Batf	Acox1	-0.99413	0.99	-6.9E-02	rgb(202,208,220)	1.98	None
Batf	Asap1	0.99413	0.99	0.144	rgb(219,189,190)	1.98	None
Batf	Bcl2l11	-0.99413	0.99	-7.9E-02	rgb(200,207,220)	1.98	None
Batf	Cacna1s	-0.99413	0.99	-4.2E-01	rgb(125,161,233)	1.98	None
Batf	Ccr7	-0.99413	0.99	-4.5E-01	rgb(119,158,234)	1.98	None
Batf	Cd74	-0.99413	0.99	-2.7E-01	rgb(159,182,227)	1.98	2,2
Batf	Csgalnact1	-0.99413	0.99	-1.5E-02	rgb(214,215,218)	1.98	None
Batf	Eea1	0.99413	0.99	0.244	rgb(220,170,171)	1.98	None
Batf	Endod1	-0.99413	0.99	-3.8E-01	rgb(135,167,231)	1.98	None
Batf	F3	0.99413	0.99	0.223	rgb(219,174,175)	1.98	None
Batf	Gbp5	-0.99413	0.99	-4.7E-01	rgb(116,155,235)	1.98	None
Batf	Gpr176	-0.99413	0.99	-1.5E-01	rgb(184,197,223)	1.98	None
Batf	Gpr68	0.99413	0.99	0.155	rgb(219,187,188)	1.98	None
Batf	Gsn	0.99413	0.99	0.16	rgb(219,186,187)	1.98	None
Batf	Gucy2e	0.99413	0.99	0.173	rgb(219,184,184)	1.98	None
Batf	Hmcn1	-0.99413	0.99	-3.9E-01	rgb(132,165,232)	1.98	None
Batf	Igf2r	-0.99413	0.99	-2.8E-01	rgb(156,180,228)	1.98	None
Batf	Igfbp7	-0.99413	0.99	-2.8E-01	rgb(157,180,228)	1.98	None
Batf	Il12rb1	0.99413	0.99	0.255	rgb(220,168,169)	1.98	None
Batf	Irf4	-0.99413	0.99	-2.0E-01	rgb(174,191,225)	1.98	None
Batf	Larp1b	0.99413	0.99	0.204	rgb(219,178,178)	1.98	None
Batf	Lgmn	-0.99413	0.99	-1.3E-02	rgb(214,215,218)	1.98	None
Batf	M6pr	-0.99413	0.99	-2.1E-01	rgb(171,189,225)	1.98	None
Batf	Mpp2	0.99413	0.99	0.2	rgb(219,179,179)	1.98	None
Batf	Nckap1	0.99413	0.99	0.125	rgb(218,193,193)	1.98	None
Batf	Pnkd	0.99413	0.99	0.021	rgb(217,213,213)	1.98	None
Batf	Pten	-0.99413	0.99	-2.7E-01	rgb(158,181,227)	1.98	None
Batf	Ptger4	0.99413	0.99	0.518	rgb(223,118,119)	1.98	None
Batf	Rorc	0.99413	0.99	0.433	rgb(222,134,135)	1.98	None
Batf	Tal2	-0.99413	0.99	-2.5E-01	rgb(163,184,226)	1.98	None
Batf	Tmem19	-0.99413	0.99	-2.3E-01	rgb(166,186,226)	1.98	None
Batf	Tspan2	-0.99413	0.99	-3.8E-01	rgb(134,166,232)	1.98	None
Batf	Wnt10a	-0.99413	0.99	-1.2E-01	rgb(190,201,222)	1.98	None
Batf	Zfp280b	0.99413	0.99	0.099	rgb(218,198,198)	1.98	None
Bcl6	Ddx11	0.99413	0.99	0.406	rgb(221,139,140)	1.98	None
Cebpg	Ddit3	0.99413	0.99	0.086	rgb(218,201,201)	1.98	None
Cebpg	Psph	0.99413	0.99	0.221	rgb(219,175,175)	1.98	2,2
Cebpg	Slc3a2	-0.99413	0.99	-8.2E-03	rgb(215,216,217)	1.98	None
Crem	Galc	0.99413	0.99	0.225	rgb(219,174,174)	1.98	None
Ddit3	Sars	0.99413	0.99	0.217	rgb(219,175,176)	1.98	2,2
E2f1	Dtl	-0.99413	0.99	-5.4E-02	rgb(205,210,219)	1.98	None
E2f1	Exo1	0.99413	0.99	0.089	rgb(218,200,200)	1.98	None
E2f1	Rpa2	-0.99413	0.99	-5.2E-02	rgb(206,210,219)	1.98	None
Egr1	Dusp2	0.99413	0.99	0.186	rgb(219,181,182)	1.98	None
Egr1	Egr2	0.99413	0.99	0.317	rgb(220,156,157)	1.98	None
Egr1	Nr4a1	0.99413	0.99	0.504	rgb(223,121,122)	1.98	None
Egr1	Zfp36	0.99413	0.99	0.432	rgb(222,135,135)	1.98	None
Egr2	Pten	-0.99413	0.99	-1.1E-01	rgb(192,202,221)	1.98	None
Egr2	Tnf	0.99413	0.99	0.368	rgb(221,147,147)	1.98	None
Elf1	Arhgef6	0.99413	0.99	0.347	rgb(221,151,151)	1.98	None
Elf1	Rcsd1	0.99413	0.99	0.096	rgb(218,199,199)	1.98	None
Elk3	Capg	0.99413	0.99	0.376	rgb(221,145,146)	1.98	2,2
Elk3	Fam49b	0.99413	0.99	0.277	rgb(220,164,165)	1.98	None
Elk3	Slc4a8	-0.99413	0.99	-2.1E-02	rgb(212,214,218)	1.98	None
Elk3	Stk38l	0.99413	0.99	0.113	rgb(218,195,196)	1.98	None
Elk3	Ubash3b	0.99413	0.99	0.277	rgb(220,164,165)	1.98	2,2
Epas1	Cacna1c	0.99413	0.99	0.189	rgb(219,181,181)	1.98	None
Epas1	Mllt3	0.99413	0.99	0.199	rgb(219,179,179)	1.98	None
Erg	Smox	-0.99413	0.99	-1.1E-01	rgb(193,203,221)	1.98	None
Ets2	Sept9	-0.99413	0.99	-1.2E-01	rgb(191,201,222)	1.98	None
Etv6	Ncs1	0.99413	0.99	0.111	rgb(218,196,196)	1.98	None
Etv6	Socs3	0.99413	0.99	0.121	rgb(218,194,194)	1.98	None
Fos	Zfp36	0.99413	0.99	0.094	rgb(218,199,199)	1.98	None
Fosb	Neat1	0.99413	0.99	0.161	rgb(219,186,186)	1.98	None
Fosl2	Ppp1r3b	0.99413	0.99	0.076	rgb(218,202,203)	1.98	None
Fosl2	Sema6b	0.99413	0.99	0.117	rgb(218,195,195)	1.98	None
Foxb1	Cpox	0.99413	0.99	0.223	rgb(219,174,175)	1.98	None
Foxf2	Aacs	0.99413	0.99	0.102	rgb(218,197,198)	1.98	None
Foxf2	Myo3b	0.99413	0.99	0.496	rgb(222,122,123)	1.98	None
Foxf2	Npr3	0.99413	0.99	0.177	rgb(219,183,184)	1.98	2,2
Foxn2	Creb1	0.99413	0.99	0.209	rgb(219,177,178)	1.98	None
Foxo3	Bbc3	0.99413	0.99	0.138	rgb(219,191,191)	1.98	None
Foxo3	Psrc1	0.99413	0.99	0.152	rgb(219,188,188)	1.98	None
Foxp3	Col15a1	0.99413	0.99	0.227	rgb(219,174,174)	1.98	None
Foxs1	Mylk2	0.99413	0.99	0.53	rgb(223,116,117)	1.98	2,2
