TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Epas1	Bnip3	0.99985	1	0.237	rgb(220,172,172)	2	None
Epas1	Egln1	0.99985	1	0.322	rgb(221,156,156)	2	None
Epas1	Ero1l	0.99985	1	0.113	rgb(218,196,196)	2	None
Hif1a	2310022B05Rik	0.99985	1	0.367	rgb(221,147,148)	2	None
Hif1a	Bnip3	0.99985	1	0.283	rgb(220,163,164)	2	None
Hif1a	Egln1	0.99985	1	0.273	rgb(220,165,165)	2	None
Hif1a	Ero1l	0.99985	1	0.624	rgb(224, 98, 99)	2	None
Hif1a	P4hb	0.99985	1	0.592	rgb(224,104,105)	2	None
Ar	Hk1	-0.99719	0.99	-7.8E-02	rgb(200,207,220)	1.98	None
Bcl6b	Crem	0.99719	0.99	0.264	rgb(220,166,167)	1.98	None
Bhlhe40	Mical1	-0.99719	0.99	-3.9E-01	rgb(132,166,232)	1.98	None
Cdc5l	Chst15	0.99719	0.99	0.285	rgb(220,163,163)	1.98	None
Cux1	Tmsb15b1	0.99719	0.99	0.287	rgb(220,162,163)	1.98	None
Dmrt1	Padi2	0.99719	0.99	0.314	rgb(220,157,158)	1.98	None
Egr3	Nlrc5	-0.99719	0.99	-6.7E-02	rgb(202,208,220)	1.98	None
Elf1	Slamf7	0.99719	0.99	0.04	rgb(217,209,209)	1.98	None
Epas1	Agl	0.99719	0.99	0.251	rgb(220,169,170)	1.98	None
Epas1	Arrb1	0.99719	0.99	0.368	rgb(221,147,147)	1.98	None
Epas1	Bcar1	0.99719	0.99	0.437	rgb(222,134,134)	1.98	None
Epas1	Mllt6	0.99719	0.99	0.314	rgb(220,157,158)	1.98	None
Epas1	Slc2a1	0.99719	0.99	0.44	rgb(222,133,134)	1.98	None
Ets2	Slamf7	0.99719	0.99	0.528	rgb(223,116,117)	1.98	None
Fli1	Afp	0.99719	0.99	0.59	rgb(223,104,105)	1.98	None
Foxa1	Tg	-0.99719	0.99	-2.3E-01	rgb(167,186,226)	1.98	None
Foxj1	Acoxl	0.99719	0.99	0.395	rgb(221,141,142)	1.98	None
Foxj1	Ccl3	0.99719	0.99	0.39	rgb(221,142,143)	1.98	None
Foxo1	Dlgap1	-0.99719	0.99	-2.6E-01	rgb(160,182,227)	1.98	None
Foxp3	Stfa3	0.99719	0.99	0.353	rgb(221,150,150)	1.98	None
Gabpa	Bcl2a1b	0.99719	0.99	0.194	rgb(219,180,180)	1.98	None
Gabpa	Klhl3	0.99719	0.99	0.241	rgb(220,171,171)	1.98	None
Gata1	P2ry1	0.99719	0.99	0.197	rgb(219,179,180)	1.98	None
Gata1	Zfp445	-0.99719	0.99	-6.8E-02	rgb(202,208,220)	1.98	None
Gata3	Pck2	0.99719	0.99	0.274	rgb(220,165,165)	1.98	None
Gfi1	Oas1e	0.99719	0.99	0.096	rgb(218,199,199)	1.98	None
Hif1a	Agl	0.99719	0.99	0.081	rgb(218,202,202)	1.98	None
Hif1a	Arrb1	0.99719	0.99	0.059	rgb(218,206,206)	1.98	None
Hif1a	Bcar1	0.99719	0.99	0.113	rgb(218,195,196)	1.98	None
Hif1a	Bend5	0.99719	0.99	0.262	rgb(220,167,168)	1.98	None
Hif1a	Fzd7	0.99719	0.99	0.216	rgb(219,176,176)	1.98	None
Hif1a	Galk1	0.99719	0.99	0.233	rgb(220,172,173)	1.98	None
Hif1a	H2-Ab1	0.99719	0.99	0.189	rgb(219,181,181)	1.98	None
Hif1a	Muc2	0.99719	0.99	0.157	rgb(219,187,187)	1.98	None
Hif1a	Nefh	0.99719	0.99	0.247	rgb(220,170,170)	1.98	None
Hif1a	P4ha2	0.99719	0.99	0.201	rgb(219,179,179)	1.98	None
Hif1a	Pla2g12a	0.99719	0.99	0.334	rgb(221,153,154)	1.98	None
Hif1a	Ppme1	0.99719	0.99	0.308	rgb(220,158,159)	1.98	None
Hif1a	Rab33a	0.99719	0.99	0.541	rgb(223,114,115)	1.98	None
Hif1a	Slc2a1	0.99719	0.99	0.162	rgb(219,186,186)	1.98	None
Hif1a	Slc2a3	0.99719	0.99	0.473	rgb(222,127,128)	1.98	None
Hif1a	Smtnl2	0.99719	0.99	0.522	rgb(223,117,118)	1.98	None
Hif1a	Zfp395	0.99719	0.99	0.383	rgb(221,144,145)	1.98	None
Hsf1	Akr1c12	0.99719	0.99	0.488	rgb(222,124,125)	1.98	None
Hsf1	Gp49a	0.99719	0.99	0.179	rgb(219,183,183)	1.98	None
Ikzf2	Pappa2	0.99719	0.99	0.118	rgb(218,194,195)	1.98	None
Ikzf2	St18	0.99719	0.99	0.366	rgb(221,147,148)	1.98	None
Irf1	BC094916	-0.99719	0.99	-1.9E-01	rgb(176,192,224)	1.98	None
Irf2	BC094916	0.99719	0.99	0.358	rgb(221,149,149)	1.98	None
Irf2	Cysltr1	-0.99719	0.99	-2.2E-01	rgb(168,187,226)	1.98	None
Irf2	Ifi204	0.99719	0.99	0.464	rgb(222,128,129)	1.98	None
Irf2	Tapbp	0.99719	0.99	0.268	rgb(220,166,166)	1.98	None
Irf2	Trim12c	0.99719	0.99	0.105	rgb(218,197,197)	1.98	None
Irf2	Utrn	0.99719	0.99	0.006	rgb(217,216,216)	1.98	None
Irf4	Ddx60	0.99719	0.99	0.086	rgb(218,200,201)	1.98	None
Irf7	BC094916	-0.99719	0.99	-9.1E-02	rgb(197,205,220)	1.98	None
Irf7	Cmpk2	0.99719	0.99	0.217	rgb(219,175,176)	1.98	None
Irf7	Gbp6	0.99719	0.99	0.385	rgb(221,143,144)	1.98	None
Irf8	Gtsf1	0.99719	0.99	0.263	rgb(220,167,167)	1.98	None
Irf9	BC094916	0.99719	0.99	0.365	rgb(221,147,148)	1.98	None
Irf9	Ddx60	0.99719	0.99	0.474	rgb(222,126,127)	1.98	None
Irf9	Dtx3l	0.99719	0.99	0.245	rgb(220,170,171)	1.98	None
Irf9	Gbp10	0.99719	0.99	0.284	rgb(220,163,163)	1.98	None
Irf9	Gbp6	0.99719	0.99	0.276	rgb(220,164,165)	1.98	None
Irf9	Gbp9	0.99719	0.99	0.106	rgb(218,197,197)	1.98	None
Irf9	Herc6	0.99719	0.99	0.132	rgb(218,192,192)	1.98	None
Irf9	Igtp	0.99719	0.99	0.32	rgb(221,156,156)	1.98	None
Irf9	Lgals3bp	0.99719	0.99	0.141	rgb(219,190,190)	1.98	None
Irf9	Parp9	0.99719	0.99	0.284	rgb(220,163,163)	1.98	None
Irf9	Pml	0.99719	0.99	0.277	rgb(220,164,165)	1.98	None
Irf9	Rtp4	0.99719	0.99	0.324	rgb(221,155,156)	1.98	None
Irf9	Tapbp	0.99719	0.99	0.337	rgb(221,153,153)	1.98	None
Irf9	Xaf1	0.99719	0.99	0.118	rgb(218,195,195)	1.98	None
Lhx2	Dixdc1	0.99719	0.99	0.242	rgb(220,171,171)	1.98	None
Lhx6	Ifi203	-0.99719	0.99	-8.6E-02	rgb(198,206,220)	1.98	None
Maf	Bcl2a1b	-0.99719	0.99	-5.3E-02	rgb(205,210,219)	1.98	None
Myb	Cdc14a	-0.99719	0.99	-1.1E-01	rgb(193,202,221)	1.98	None
Myc	Nefh	0.99719	0.99	0.362	rgb(221,148,149)	1.98	None
Nfia	Acsbg1	0.99719	0.99	0.049	rgb(218,208,208)	1.98	None
Nfil3	Rora	0.99719	0.99	0.677	rgb(224, 88, 89)	1.98	None
Nfkb1	Pla2g4f	-0.99719	0.99	-1.3E-01	rgb(189,200,222)	1.98	None
Nfkb1	Sema4a	0.99719	0.99	0.071	rgb(218,204,204)	1.98	None
Otx1	Ndufv3	0.99719	0.99	0.402	rgb(221,140,141)	1.98	None
Plagl1	Ptk7	0.99719	0.99	0.424	rgb(222,136,137)	1.98	None
Pou2f2	Cd84	0.99719	0.99	0.315	rgb(220,157,158)	1.98	None
Pou6f1	Mmp7	0.99719	0.99	0.459	rgb(222,129,130)	1.98	None
Prdm1	Il24	-0.99719	0.99	-2.4E-02	rgb(212,214,218)	1.98	None
Rara	Pomc	0.99719	0.99	0.518	rgb(223,118,119)	1.98	None
Rara	Prnp	0.99719	0.99	0.26	rgb(220,167,168)	1.98	None
Rara	Slc5a7	-0.99719	0.99	-2.2E-01	rgb(168,187,226)	1.98	None
Rel	Ccl20	0.99719	0.99	0.238	rgb(220,172,172)	1.98	None
Rel	Tmem176a	0.99719	0.99	0.253	rgb(220,169,169)	1.98	None
Rel	Tmem176b	0.99719	0.99	0.379	rgb(221,145,145)	1.98	None
Rela	Pla2g4f	0.99719	0.99	0.167	rgb(219,185,185)	1.98	None
Rest	Gabrr2	-0.99719	0.99	-2.2E-01	rgb(170,189,225)	1.98	None
Rfx7	Ccdc134	0.99719	0.99	0.309	rgb(220,158,159)	1.98	None
Rfx7	Pde4d	-0.99719	0.99	-3.3E-01	rgb(146,174,229)	1.98	None
Rfx7	Ssh2	-0.99719	0.99	-3.9E-01	rgb(132,165,232)	1.98	None
Rora	2310007L24Rik	0.99719	0.99	0.298	rgb(220,160,161)	1.98	None
Rxra	Il12rb2	0.99719	0.99	0.505	rgb(223,120,122)	1.98	None
Rxra	Krt6a	-0.99719	0.99	-1.8E-02	rgb(213,215,218)	1.98	None
Rxrb	Txk	0.99719	0.99	0.342	rgb(221,152,152)	1.98	None
Smad3	Pla2g4f	0.99719	0.99	0.375	rgb(221,145,146)	1.98	None
Sox13	Emp3	0.99719	0.99	0.5	rgb(223,121,122)	1.98	None
Sox4	Akap2	0.99719	0.99	0.393	rgb(221,142,143)	1.98	None
Sox4	Gcnt1	0.99719	0.99	0.175	rgb(219,184,184)	1.98	None
Sp2	Ahrr	0.99719	0.99	0.371	rgb(221,146,147)	1.98	None
Spib	Gpr15	0.99719	0.99	0.389	rgb(221,143,143)	1.98	None
Spib	Gpr34	0.99719	0.99	0.135	rgb(218,191,191)	1.98	None
Spib	Klrd1	0.99719	0.99	0.599	rgb(224,103,104)	1.98	None
Spib	Notch2	0.99719	0.99	0.039	rgb(217,210,210)	1.98	None
Stat1	Ifit3	-0.99719	0.99	-7.4E-03	rgb(215,216,217)	1.98	None
Stat1	Pml	0.99719	0.99	0.209	rgb(219,177,177)	1.98	None
Stat1	Stat2	0.99719	0.99	0.028	rgb(217,212,212)	1.98	None
Stat3	Cysltr1	0.99719	0.99	0.125	rgb(218,193,193)	1.98	None
Stat3	Nkd2	0.99719	0.99	0.356	rgb(221,149,150)	1.98	None
Tcf3	Ccdc67	0.99719	0.99	0.202	rgb(219,178,179)	1.98	None
Tef	Cdkn2d	0.99719	0.99	0.058	rgb(218,206,206)	1.98	None
Thra	Inpp5b	0.99719	0.99	0.268	rgb(220,166,166)	1.98	None
Trp53	Gtse1	0.99719	0.99	0.455	rgb(222,130,131)	1.98	None
Trp53	Psrc1	0.99719	0.99	0.223	rgb(219,174,175)	1.98	None
